OID,X,Y,Data,date
0,-16.875,14.5,0.204,1/1/2005
1,-16.875,15,0,1/1/2005
2,-16.875,21.5,0.0676,1/1/2005
3,-16.875,22,0.204,1/1/2005
4,-16.25,11.5,-1.7276,1/1/2005
5,-16.25,12,-1.0374,1/1/2005
6,-16.25,12.5,0.0676,1/1/2005
7,-16.25,13,0.0676,1/1/2005
8,-16.25,13.5,-0.0676,1/1/2005
9,-16.25,14,-0.2735,1/1/2005
10,-16.25,14.5,-1.1609,1/1/2005
11,-16.25,15,-2.1678,1/1/2005
12,-16.25,15.5,-2.1678,1/1/2005
13,-16.25,16,-1.7276,1/1/2005
14,-16.25,16.5,-1.0374,1/1/2005
15,-16.25,17,-1.0374,1/1/2005
16,-16.25,19.5,-0.204,1/1/2005
17,-16.25,20.5,0.0676,1/1/2005
18,-16.25,21,-0.1355,1/1/2005
19,-16.25,21.5,-0.2735,1/1/2005
20,-16.25,22,-0.204,1/1/2005
21,-16.25,22.5,-0.1355,1/1/2005
22,-16.25,28.5,0.6509,1/1/2005
23,-15.625,11.5,0,1/1/2005
24,-15.625,12,-0.3443,1/1/2005
25,-15.625,12.5,0,1/1/2005
26,-15.625,13,0,1/1/2005
27,-15.625,13.5,-0.1355,1/1/2005
28,-15.625,14,-0.3443,1/1/2005
29,-15.625,14.5,-0.8286,1/1/2005
30,-15.625,15,-2.1678,1/1/2005
31,-15.625,15.5,-2.1678,1/1/2005
32,-15.625,16,-1.7276,1/1/2005
33,-15.625,16.5,-2.1678,1/1/2005
34,-15.625,17,-2.1678,1/1/2005
35,-15.625,17.5,-1.4835,1/1/2005
36,-15.625,18,-1.4835,1/1/2005
37,-15.625,18.5,-1.4835,1/1/2005
38,-15.625,19,-1.0374,1/1/2005
39,-15.625,19.5,0,1/1/2005
40,-15.625,20,0.0676,1/1/2005
41,-15.625,20.5,0.1355,1/1/2005
42,-15.625,21,0,1/1/2005
43,-15.625,21.5,-0.1355,1/1/2005
44,-15.625,22,-0.1355,1/1/2005
45,-15.625,22.5,0,1/1/2005
46,-15.625,23,-0.0676,1/1/2005
47,-15.625,23.5,-0.3443,1/1/2005
48,-15.625,24,-0.5696,1/1/2005
49,-15.625,28,-1.3052,1/1/2005
50,-15,11,0.1355,1/1/2005
51,-15,11.5,0.1355,1/1/2005
52,-15,12,-0.1355,1/1/2005
53,-15,12.5,0,1/1/2005
54,-15,13,0,1/1/2005
55,-15,13.5,-0.1355,1/1/2005
56,-15,14,-0.3443,1/1/2005
57,-15,14.5,-1.0374,1/1/2005
58,-15,15,-2.1678,1/1/2005
59,-15,15.5,-2.1678,1/1/2005
60,-15,16,-2.1678,1/1/2005
61,-15,16.5,-2.1678,1/1/2005
62,-15,17,-2.1678,1/1/2005
63,-15,17.5,-2.1678,1/1/2005
64,-15,18,-2.1678,1/1/2005
65,-15,18.5,-2.1678,1/1/2005
66,-15,19,-1.3052,1/1/2005
67,-15,19.5,0.0676,1/1/2005
68,-15,20,0.2735,1/1/2005
69,-15,20.5,0.3443,1/1/2005
70,-15,21,0.204,1/1/2005
71,-15,21.5,0,1/1/2005
72,-15,22,0,1/1/2005
73,-15,22.5,0.1355,1/1/2005
74,-15,23,0,1/1/2005
75,-15,23.5,-0.2735,1/1/2005
76,-15,24,-0.4918,1/1/2005
77,-15,24.5,-1.0374,1/1/2005
78,-14.375,10.5,0.0676,1/1/2005
79,-14.375,11,0.1355,1/1/2005
80,-14.375,11.5,0.204,1/1/2005
81,-14.375,12,0,1/1/2005
