OID,X,Y,Data
0,-16.875,14.5,0.5696
1,-16.875,15,-0.3443
2,-16.875,21.5,0.0676
3,-16.875,22,0.1355
4,-16.25,11.5,0.6509
5,-16.25,12,0.4918
6,-16.25,12.5,0.5696
7,-16.25,13,0.7369
8,-16.25,13.5,0.9279
9,-16.25,14,0.5696
10,-16.25,14.5,0.3443
11,-16.25,15,-0.7369
12,-16.25,15.5,-0.6509
13,-16.25,16,0.1355
14,-16.25,16.5,0.204
15,-16.25,17,0.3443
16,-16.25,19.5,0.8286
17,-16.25,20.5,0.0676
18,-16.25,21,0
19,-16.25,21.5,0
20,-16.25,22,0.4169
21,-16.25,22.5,0.8286
22,-16.25,28.5,2.1678
23,-15.625,11.5,0.204
24,-15.625,12,0.0676
25,-15.625,12.5,0.3443
26,-15.625,13,0.4918
27,-15.625,13.5,0.3443
28,-15.625,14,0.2735
29,-15.625,14.5,0
30,-15.625,15,-0.4169
31,-15.625,15.5,-0.6509
32,-15.625,16,-0.1355
33,-15.625,16.5,0.0676
34,-15.625,17,0.0676
35,-15.625,17.5,0.8286
36,-15.625,18,1.0374
37,-15.625,18.5,0.7369
38,-15.625,19,0.5696
39,-15.625,19.5,0.4918
40,-15.625,20,0.2735
41,-15.625,20.5,-0.3443
42,-15.625,21,-0.4169
43,-15.625,21.5,-0.204
44,-15.625,22,0
45,-15.625,22.5,0.4918
46,-15.625,23,0.8286
47,-15.625,23.5,0.8286
48,-15.625,24,0.204
49,-15.625,28,1.7276
50,-15,11,0.0676
51,-15,11.5,-0.204
52,-15,12,-0.4169
53,-15,12.5,-0.4169
54,-15,13,0
55,-15,13.5,0
56,-15,14,-0.1355
57,-15,14.5,-0.204
58,-15,15,-0.5696
59,-15,15.5,-0.4169
60,-15,16,0.204
61,-15,16.5,0.0676
62,-15,17,0.0676
63,-15,17.5,0.6509
64,-15,18,0.8286
65,-15,18.5,0.7369
66,-15,19,0.3443
67,-15,19.5,0.1355
68,-15,20,-0.204
69,-15,20.5,-0.4918
70,-15,21,-0.6509
71,-15,21.5,-0.5696
72,-15,22,-0.1355
73,-15,22.5,0.204
74,-15,23,0.3443
75,-15,23.5,0.4918
76,-15,24,0.204
77,-15,24.5,0.0676
78,-14.375,10.5,-0.4918
79,-14.375,11,-0.8286
80,-14.375,11.5,-1.1609
81,-14.375,12,-0.9279
82,-14.375,12.5,-0.6509
83,-14.375,13,-0.1355
84,-14.375,13.5,-0.1355
85,-14.375,14,-0.4169
86,-14.375,14.5,-0.2735
87,-14.375,15,-0.5696
88,-14.375,15.5,-0.0676
89,-14.375,16,0.4169
90,-14.375,16.5,0.4169
91,-14.375,17,0.204
92,-14.375,17.5,0.1355
93,-14.375,18,0.204
94,-14.375,18.5,0.0676
95,-14.375,19,0.204
96,-14.375,19.5,-0.204
97,-14.375,20,-0.7369
98,-14.375,20.5,-0.9279
99,-14.375,21,-0.6509
100,-14.375,21.5,-0.4918
101,-14.375,22,-0.204
102,-14.375,22.5,0.0676
103,-14.375,23,0.204
104,-14.375,23.5,0.1355
105,-14.375,24,0.1355
106,-14.375,24.5,0
107,-14.375,25,0.1355
108,-14.375,25.5,0.7369
109,-14.375,26,1.0374
110,-13.75,9.5,0.3443
111,-13.75,10,-0.2735
112,-13.75,10.5,-0.9279
113,-13.75,11,-1.3052
114,-13.75,11.5,-1.3052
115,-13.75,12,-1.3052
116,-13.75,12.5,-1.1609
117,-13.75,13,-0.9279
118,-13.75,13.5,-0.5696
119,-13.75,14,-0.7369
120,-13.75,14.5,-0.7369
121,-13.75,15,-0.8286
122,-13.75,15.5,-0.204
123,-13.75,16,0.204
124,-13.75,16.5,0.4169
125,-13.75,17,0.204
126,-13.75,17.5,-0.0676
127,-13.75,18,0
128,-13.75,18.5,0.2735
129,-13.75,19,0.204
130,-13.75,19.5,-0.204
131,-13.75,20,-0.9279
132,-13.75,20.5,-1.0374
133,-13.75,21,-0.4169
134,-13.75,21.5,-0.2735
135,-13.75,22,-0.204
136,-13.75,22.5,-0.5696
137,-13.75,23,-0.0676
138,-13.75,23.5,0
139,-13.75,24,0
140,-13.75,24.5,-0.4169
141,-13.75,25,-0.0676
142,-13.75,25.5,0.1355
