OID,X,Y,Data
0,-16.875,14.5,1.7276
1,-16.875,15,1.7276
2,-16.875,21.5,0.9279
3,-16.875,22,0.7369
4,-16.25,11.5,1.7276
5,-16.25,12,1.4835
6,-16.25,12.5,1.4835
7,-16.25,13,1.4835
8,-16.25,13.5,1.4835
9,-16.25,14,1.3052
10,-16.25,14.5,1.3052
11,-16.25,15,1.4835
12,-16.25,15.5,1.3052
13,-16.25,16,1.3052
14,-16.25,16.5,1.3052
15,-16.25,17,2.1678
16,-16.25,19.5,2.1678
17,-16.25,20.5,0.9279
18,-16.25,21,0.7369
19,-16.25,21.5,0.7369
20,-16.25,22,1.0374
21,-16.25,22.5,1.0374
22,-16.25,28.5,2.1678
23,-15.625,11.5,1.7276
24,-15.625,12,1.7276
25,-15.625,12.5,1.4835
26,-15.625,13,1.4835
27,-15.625,13.5,1.4835
28,-15.625,14,1.4835
29,-15.625,14.5,1.3052
30,-15.625,15,1.3052
31,-15.625,15.5,1.1609
32,-15.625,16,1.3052
33,-15.625,16.5,1.3052
34,-15.625,17,1.4835
35,-15.625,17.5,2.1678
36,-15.625,18,2.1678
37,-15.625,18.5,2.1678
38,-15.625,19,2.1678
39,-15.625,19.5,2.1678
40,-15.625,20,1.7276
41,-15.625,20.5,1.1609
42,-15.625,21,0.8286
43,-15.625,21.5,0.9279
44,-15.625,22,0.8286
45,-15.625,22.5,0.8286
46,-15.625,23,1.1609
47,-15.625,23.5,1.3052
48,-15.625,24,1.3052
49,-15.625,28,1.7276
50,-15,11,2.1678
51,-15,11.5,1.7276
52,-15,12,1.7276
53,-15,12.5,1.4835
54,-15,13,1.4835
55,-15,13.5,1.4835
56,-15,14,1.4835
57,-15,14.5,1.3052
58,-15,15,1.1609
59,-15,15.5,1.0374
60,-15,16,1.1609
61,-15,16.5,1.3052
62,-15,17,2.1678
63,-15,17.5,2.1678
64,-15,18,2.1678
65,-15,18.5,2.1678
66,-15,19,2.1678
67,-15,19.5,2.1678
68,-15,20,1.7276
69,-15,20.5,1.1609
70,-15,21,0.8286
71,-15,21.5,0.7369
72,-15,22,0.7369
73,-15,22.5,0.7369
74,-15,23,0.8286
75,-15,23.5,1.0374
76,-15,24,0.9279
77,-15,24.5,0.9279
78,-14.375,10.5,2.1678
79,-14.375,11,2.1678
80,-14.375,11.5,1.7276
81,-14.375,12,1.7276
82,-14.375,12.5,1.7276
83,-14.375,13,2.1678
84,-14.375,13.5,1.4835
85,-14.375,14,1.4835
86,-14.375,14.5,1.4835
87,-14.375,15,1.1609
88,-14.375,15.5,1.1609
89,-14.375,16,1.1609
90,-14.375,16.5,1.3052
91,-14.375,17,1.7276
92,-14.375,17.5,2.1678
93,-14.375,18,2.1678
94,-14.375,18.5,2.1678
95,-14.375,19,2.1678
96,-14.375,19.5,1.4835
97,-14.375,20,1.0374
98,-14.375,20.5,0.9279
99,-14.375,21,0.7369
100,-14.375,21.5,0.4918
101,-14.375,22,0.5696
102,-14.375,22.5,0.7369
103,-14.375,23,0.8286
104,-14.375,23.5,0.8286
105,-14.375,24,0.9279
106,-14.375,24.5,0.9279
107,-14.375,25,1.3052
108,-14.375,25.5,1.0374
109,-14.375,26,1.0374
110,-13.75,9.5,1.3052
111,-13.75,10,2.1678
112,-13.75,10.5,2.1678
113,-13.75,11,2.1678
114,-13.75,11.5,1.7276
115,-13.75,12,1.7276
116,-13.75,12.5,2.1678
117,-13.75,13,2.1678
118,-13.75,13.5,2.1678
119,-13.75,14,1.3052
120,-13.75,14.5,1.3052
121,-13.75,15,1.3052
122,-13.75,15.5,1.3052
123,-13.75,16,1.1609
124,-13.75,16.5,1.3052
125,-13.75,17,1.4835
126,-13.75,17.5,1.7276
127,-13.75,18,1.7276
128,-13.75,18.5,1.7276
129,-13.75,19,1.4835
130,-13.75,19.5,1.1609
131,-13.75,20,0.9279
132,-13.75,20.5,0.9279
133,-13.75,21,0.5696
134,-13.75,21.5,0.4918
135,-13.75,22,0.4169
136,-13.75,22.5,0.4169
137,-13.75,23,0.5696
138,-13.75,23.5,0.7369
139,-13.75,24,0.7369
140,-13.75,24.5,0.9279
141,-13.75,25,1.3052
142,-13.75,25.5,1.3052
143,-13.75,26,0.9279
144,-13.75,26.5,1.0374
145,-13.75,29,1.7276
146,-13.125,8.5,1.0374
147,-13.125,9,0.8286
148,-13.125,9.5,2.1678
149,-13.125,10,2.1678
150,-13.125,10.5,2.1678
151,-13.125,11,2.1678
152,-13.125,11.5,1.7276
153,-13.125,12,1.7276
154,-13.125,12.5,1.7276
155,-13.125,13,2.1678
156,-13.125,13.5,2.1678
157,-13.125,14,2.1678
158,-13.125,14.5,1.3052
159,-13.125,15,1.4835
160,-13.125,15.5,1.3052
161,-13.125,16,1.3052
162,-13.125,16.5,1.3052
163,-13.125,17,1.3052
164,-13.125,17.5,1.4835
165,-13.125,18,2.1678
166,-13.125,18.5,2.1678
167,-13.125,19,1.7276
168,-13.125,19.5,1.3052
169,-13.125,20,0.7369
170,-13.125,20.5,0.8286
171,-13.125,21,0.4918
172,-13.125,21.5,0.204
173,-13.125,22,0.1355
174,-13.125,22.5,0.3443
175,-13.125,23,0.4918
176,-13.125,23.5,0.5696
177,-13.125,24,0.4918
178,-13.125,24.5,0.6509
179,-13.125,25,1.1609
180,-13.125,25.5,1.3052
181,-13.125,26,1.3052
182,-13.125,26.5,1.3052
183,-13.125,27,1.3052
184,-13.125,27.5,1.4835
185,-12.5,7.5,0.6509
186,-12.5,8,0.7369
187,-12.5,8.5,0.9279
188,-12.5,9,1.3052
189,-12.5,9.5,2.1678
190,-12.5,10,2.1678
191,-12.5,10.5,2.1678
192,-12.5,11,2.1678
193,-12.5,11.5,2.1678
194,-12.5,12,1.4835
195,-12.5,12.5,1.7276
196,-12.5,13,2.1678
197,-12.5,13.5,2.1678
198,-12.5,14,2.1678
199,-12.5,14.5,2.1678
200,-12.5,15,1.7276
201,-12.5,15.5,1.4835
202,-12.5,16,1.4835
203,-12.5,16.5,1.4835
204,-12.5,17,1.7276
205,-12.5,17.5,2.1678
206,-12.5,18,1.7276
207,-12.5,18.5,1.7276
208,-12.5,19,1.7276
209,-12.5,19.5,1.7276
210,-12.5,20,1.3052
211,-12.5,20.5,0.8286
212,-12.5,21,0.5696
213,-12.5,21.5,0.0676
214,-12.5,22,-0.0676
215,-12.5,22.5,0
216,-12.5,23,0.1355
217,-12.5,23.5,0.2735
218,-12.5,24,0.204
219,-12.5,24.5,0.204
220,-12.5,25,0.6509
221,-12.5,25.5,1.0374
222,-12.5,26,1.1609
223,-12.5,26.5,1.1609
224,-12.5,27,1.4835
225,-12.5,27.5,1.7276
226,-12.5,28,2.1678
227,-11.875,7.5,0.4918
228,-11.875,8,1.0374
229,-11.875,8.5,1.1609
230,-11.875,9,1.1609
231,-11.875,9.5,2.1678
232,-11.875,10,2.1678
233,-11.875,10.5,2.1678
234,-11.875,11,2.1678
235,-11.875,11.5,2.1678
236,-11.875,12,1.1609
237,-11.875,12.5,1.4835
238,-11.875,13,1.7276
239,-11.875,13.5,2.1678
240,-11.875,14,2.1678
241,-11.875,14.5,2.1678
242,-11.875,15,2.1678
243,-11.875,15.5,2.1678
244,-11.875,16,1.7276
245,-11.875,16.5,2.1678
246,-11.875,17,2.1678
247,-11.875,17.5,1.7276
248,-11.875,18,1.0374
249,-11.875,18.5,1.7276
250,-11.875,19,2.1678
251,-11.875,19.5,2.1678
252,-11.875,20,2.1678
253,-11.875,20.5,1.4835
254,-11.875,21,0.8286
255,-11.875,21.5,0.2735
256,-11.875,22,0
257,-11.875,22.5,0.0676
258,-11.875,23,0.2735
259,-11.875,23.5,0.1355
260,-11.875,24,0.0676
261,-11.875,24.5,-0.0676
262,-11.875,25,0.3443
263,-11.875,25.5,0.7369
264,-11.875,26,0.9279
265,-11.875,26.5,0.9279
266,-11.875,27,1.0374
267,-11.875,27.5,1.3052
268,-11.875,28,1.7276
269,-11.25,7,0.4169
270,-11.25,7.5,0.4918
271,-11.25,8,1.0374
272,-11.25,8.5,1.1609
273,-11.25,9,1.1609
274,-11.25,9.5,2.1678
275,-11.25,10,2.1678
276,-11.25,10.5,2.1678
277,-11.25,11,2.1678
278,-11.25,11.5,2.1678
279,-11.25,12,1.3052
280,-11.25,12.5,1.4835
281,-11.25,13,1.7276
282,-11.25,13.5,2.1678
283,-11.25,14,2.1678
284,-11.25,14.5,2.1678
285,-11.25,15,2.1678
286,-11.25,15.5,1.7276
287,-11.25,16,1.4835
288,-11.25,16.5,1.7276
289,-11.25,17,2.1678
290,-11.25,17.5,2.1678
291,-11.25,18,1.3052
292,-11.25,18.5,1.7276
293,-11.25,19,2.1678
294,-11.25,19.5,2.1678
295,-11.25,20,2.1678
296,-11.25,20.5,1.4835
297,-11.25,21,0.8286
298,-11.25,21.5,0.2735
299,-11.25,22,0
300,-11.25,22.5,0.0676
301,-11.25,23,0.204
302,-11.25,23.5,0.1355
303,-11.25,24,0.0676
304,-11.25,24.5,0.0676
305,-11.25,25,0.4169
306,-11.25,25.5,0.8286
307,-11.25,26,1.0374
308,-11.25,26.5,1.0374
309,-11.25,27,1.0374
310,-11.25,27.5,1.4835
311,-11.25,28,1.7276
312,-11.25,28.5,1.3052
313,-10.625,6.5,0.2735
314,-10.625,7,0.204
315,-10.625,7.5,0.4169
316,-10.625,8,0.9279
317,-10.625,8.5,1.0374
318,-10.625,9,1.7276
319,-10.625,9.5,2.1678
320,-10.625,10,2.1678
321,-10.625,10.5,2.1678
322,-10.625,11,2.1678
323,-10.625,11.5,2.1678
324,-10.625,12,1.3052
325,-10.625,12.5,1.7276
326,-10.625,13,1.7276
327,-10.625,13.5,1.7276
328,-10.625,14,2.1678
329,-10.625,14.5,2.1678
330,-10.625,15,1.7276
331,-10.625,15.5,1.4835
332,-10.625,16,1.3052
333,-10.625,16.5,1.4835
334,-10.625,17,1.7276
335,-10.625,17.5,1.4835
336,-10.625,18,1.1609
337,-10.625,18.5,1.3052
338,-10.625,19,2.1678
339,-10.625,19.5,2.1678
340,-10.625,20,2.1678
341,-10.625,20.5,1.7276
342,-10.625,21,1.3052
343,-10.625,21.5,0.6509
344,-10.625,22,0.1355
345,-10.625,22.5,0.204
346,-10.625,23,0.4169
347,-10.625,23.5,0.3443
348,-10.625,24,0.0676
349,-10.625,24.5,0.0676
350,-10.625,25,0.3443
351,-10.625,25.5,0.8286
352,-10.625,26,0.8286
353,-10.625,26.5,0.7369
354,-10.625,27,0.9279
355,-10.625,27.5,1.1609
356,-10.625,28,1.1609
357,-10.625,28.5,0.8286
358,-10.625,29,0.9279
359,-10,6,0.3443
360,-10,6.5,0.1355
361,-10,7,0
362,-10,7.5,0.3443
363,-10,8,0.5696
364,-10,8.5,0.8286
365,-10,9,1.3052
366,-10,9.5,1.4835
367,-10,10,2.1678
368,-10,10.5,2.1678
369,-10,11,2.1678
370,-10,11.5,1.7276
371,-10,12,1.7276
372,-10,12.5,1.4835
373,-10,13,1.7276
374,-10,13.5,1.7276
375,-10,14,1.7276
376,-10,14.5,1.7276
377,-10,15,1.4835
378,-10,15.5,1.4835
379,-10,16,1.4835
380,-10,16.5,1.4835
381,-10,17,2.1678
382,-10,17.5,1.7276
383,-10,18,1.1609
384,-10,18.5,1.0374
385,-10,19,2.1678
386,-10,19.5,2.1678
387,-10,20,1.7276
388,-10,20.5,1.4835
389,-10,21,1.3052
390,-10,21.5,0.7369
391,-10,22,0.4918
392,-10,22.5,0.204
393,-10,23,0.4169
394,-10,23.5,0.3443
395,-10,24,0.3443
396,-10,24.5,0.1355
397,-10,25,0.5696
398,-10,25.5,0.7369
399,-10,26,0.7369
400,-10,26.5,0.6509
401,-10,27,0.8286
402,-10,27.5,0.9279
