OID,X,Y,Data
0,-16.875,14.5,0.204
1,-16.875,15,0
2,-16.875,21.5,0.0676
3,-16.875,22,0.204
4,-16.25,11.5,-1.7276
5,-16.25,12,-1.0374
6,-16.25,12.5,0.0676
7,-16.25,13,0.0676
8,-16.25,13.5,-0.0676
9,-16.25,14,-0.2735
10,-16.25,14.5,-1.1609
11,-16.25,15,-2.1678
12,-16.25,15.5,-2.1678
13,-16.25,16,-1.7276
14,-16.25,16.5,-1.0374
15,-16.25,17,-1.0374
16,-16.25,19.5,-0.204
17,-16.25,20.5,0.0676
18,-16.25,21,-0.1355
19,-16.25,21.5,-0.2735
20,-16.25,22,-0.204
21,-16.25,22.5,-0.1355
22,-16.25,28.5,0.6509
23,-15.625,11.5,0
24,-15.625,12,-0.3443
25,-15.625,12.5,0
26,-15.625,13,0
27,-15.625,13.5,-0.1355
28,-15.625,14,-0.3443
29,-15.625,14.5,-0.8286
30,-15.625,15,-2.1678
31,-15.625,15.5,-2.1678
32,-15.625,16,-1.7276
33,-15.625,16.5,-2.1678
34,-15.625,17,-2.1678
35,-15.625,17.5,-1.4835
36,-15.625,18,-1.4835
37,-15.625,18.5,-1.4835
38,-15.625,19,-1.0374
39,-15.625,19.5,0
40,-15.625,20,0.0676
41,-15.625,20.5,0.1355
42,-15.625,21,0
43,-15.625,21.5,-0.1355
44,-15.625,22,-0.1355
45,-15.625,22.5,0
46,-15.625,23,-0.0676
47,-15.625,23.5,-0.3443
48,-15.625,24,-0.5696
49,-15.625,28,-1.3052
50,-15,11,0.1355
51,-15,11.5,0.1355
52,-15,12,-0.1355
53,-15,12.5,0
54,-15,13,0
55,-15,13.5,-0.1355
56,-15,14,-0.3443
57,-15,14.5,-1.0374
58,-15,15,-2.1678
59,-15,15.5,-2.1678
60,-15,16,-2.1678
61,-15,16.5,-2.1678
62,-15,17,-2.1678
63,-15,17.5,-2.1678
64,-15,18,-2.1678
65,-15,18.5,-2.1678
66,-15,19,-1.3052
67,-15,19.5,0.0676
68,-15,20,0.2735
69,-15,20.5,0.3443
70,-15,21,0.204
71,-15,21.5,0
72,-15,22,0
73,-15,22.5,0.1355
74,-15,23,0
75,-15,23.5,-0.2735
76,-15,24,-0.4918
77,-15,24.5,-1.0374
78,-14.375,10.5,0.0676
79,-14.375,11,0.1355
80,-14.375,11.5,0.204
81,-14.375,12,0
82,-14.375,12.5,-0.1355
83,-14.375,13,-0.0676
84,-14.375,13.5,-0.1355
85,-14.375,14,-0.7369
86,-14.375,14.5,-1.1609
87,-14.375,15,-1.7276
88,-14.375,15.5,-2.1678
89,-14.375,16,-2.1678
90,-14.375,16.5,-2.1678
91,-14.375,17,-2.1678
92,-14.375,17.5,-2.1678
93,-14.375,18,-2.1678
94,-14.375,18.5,-2.1678
95,-14.375,19,-1.3052
96,-14.375,19.5,0.1355
97,-14.375,20,0.4169
98,-14.375,20.5,0.6509
99,-14.375,21,0.4918
100,-14.375,21.5,0.1355
101,-14.375,22,0.1355
102,-14.375,22.5,0.2735
103,-14.375,23,0.1355
104,-14.375,23.5,-0.1355
105,-14.375,24,-0.4918
106,-14.375,24.5,-0.8286
107,-14.375,25,-0.9279
108,-14.375,25.5,-1.0374
109,-14.375,26,-1.1609
110,-13.75,9.5,0.4918
111,-13.75,10,0.4918
112,-13.75,10.5,0.4169
113,-13.75,11,0.5696
114,-13.75,11.5,0.6509
115,-13.75,12,0.204
116,-13.75,12.5,-0.3443
117,-13.75,13,-1.4835
118,-13.75,13.5,-1.7276
119,-13.75,14,-2.1678
120,-13.75,14.5,-1.7276
121,-13.75,15,-0.9279
122,-13.75,15.5,-1.4835
123,-13.75,16,-2.1678
124,-13.75,16.5,-2.1678
125,-13.75,17,-2.1678
126,-13.75,17.5,-2.1678
127,-13.75,18,-2.1678
128,-13.75,18.5,-2.1678
129,-13.75,19,-1.4835
130,-13.75,19.5,0.1355
131,-13.75,20,0.4169
132,-13.75,20.5,0.6509
133,-13.75,21,0.6509
134,-13.75,21.5,0.4918
135,-13.75,22,0.5696
136,-13.75,22.5,0.9279
137,-13.75,23,0.4918
138,-13.75,23.5,0.1355
139,-13.75,24,-0.3443
140,-13.75,24.5,-0.4918
141,-13.75,25,-0.6509
142,-13.75,25.5,-0.6509
143,-13.75,26,-0.5696
144,-13.75,26.5,-0.5696
145,-13.75,29,-0.204
146,-13.125,8.5,0.4169
147,-13.125,9,0.4169
148,-13.125,9.5,0.4169
149,-13.125,10,0.2735
150,-13.125,10.5,0
151,-13.125,11,-0.0676
152,-13.125,11.5,0.204
153,-13.125,12,-0.0676
154,-13.125,12.5,-0.204
155,-13.125,13,-0.8286
156,-13.125,13.5,-0.8286
157,-13.125,14,-0.7369
158,-13.125,14.5,-0.8286
159,-13.125,15,-0.4918
160,-13.125,15.5,-1.4835
161,-13.125,16,-1.7276
162,-13.125,16.5,-1.7276
163,-13.125,17,-2.1678
164,-13.125,17.5,-2.1678
165,-13.125,18,-2.1678
166,-13.125,18.5,-2.1678
167,-13.125,19,-1.7276
168,-13.125,19.5,-0.0676
169,-13.125,20,0.3443
170,-13.125,20.5,0.6509
171,-13.125,21,0.4918
172,-13.125,21.5,0.1355
173,-13.125,22,0.5696
174,-13.125,22.5,0.8286
175,-13.125,23,0.7369
176,-13.125,23.5,0.3443
177,-13.125,24,-0.2735
178,-13.125,24.5,-0.5696
179,-13.125,25,-0.6509
180,-13.125,25.5,-0.4918
181,-13.125,26,-0.5696
182,-13.125,26.5,-0.5696
183,-13.125,27,-0.2735
184,-13.125,27.5,-0.1355
185,-12.5,7.5,-1.3052
186,-12.5,8,0.2735
187,-12.5,8.5,0.3443
188,-12.5,9,0.4169
189,-12.5,9.5,0.1355
190,-12.5,10,0.0676
191,-12.5,10.5,-0.0676
192,-12.5,11,0.0676
193,-12.5,11.5,0.204
194,-12.5,12,0.204
195,-12.5,12.5,0.0676
196,-12.5,13,0.0676
197,-12.5,13.5,-0.1355
198,-12.5,14,-0.1355
199,-12.5,14.5,-0.204
200,-12.5,15,-0.6509
201,-12.5,15.5,-1.1609
202,-12.5,16,-1.4835
203,-12.5,16.5,-1.7276
204,-12.5,17,-2.1678
205,-12.5,17.5,-2.1678
206,-12.5,18,-2.1678
207,-12.5,18.5,-2.1678
208,-12.5,19,-2.1678
209,-12.5,19.5,0.3443
210,-12.5,20,0.3443
211,-12.5,20.5,0.204
212,-12.5,21,-0.204
213,-12.5,21.5,-0.3443
214,-12.5,22,-0.204
215,-12.5,22.5,0.3443
216,-12.5,23,0.7369
217,-12.5,23.5,0.2735
218,-12.5,24,-0.0676
219,-12.5,24.5,-0.3443
220,-12.5,25,-0.8286
221,-12.5,25.5,-0.7369
222,-12.5,26,-0.6509
223,-12.5,26.5,-0.6509
224,-12.5,27,-0.5696
225,-12.5,27.5,-0.4169
226,-12.5,28,-0.0676
227,-11.875,7.5,-0.204
228,-11.875,8,0.2735
229,-11.875,8.5,0.4169
230,-11.875,9,0.3443
231,-11.875,9.5,0.2735
232,-11.875,10,0.3443
233,-11.875,10.5,0.204
234,-11.875,11,0.3443
235,-11.875,11.5,0.4918
236,-11.875,12,0.5696
237,-11.875,12.5,0.4918
238,-11.875,13,0.2735
239,-11.875,13.5,0.3443
240,-11.875,14,0.1355
241,-11.875,14.5,0.1355
242,-11.875,15,-0.0676
243,-11.875,15.5,-1.3052
244,-11.875,16,-1.7276
245,-11.875,16.5,-1.4835
246,-11.875,17,-2.1678
247,-11.875,17.5,-2.1678
248,-11.875,18,-2.1678
249,-11.875,18.5,-2.1678
250,-11.875,19,-2.1678
251,-11.875,19.5,0.6509
252,-11.875,20,0.6509
253,-11.875,20.5,0.204
254,-11.875,21,-0.1355
255,-11.875,21.5,-0.204
256,-11.875,22,-0.204
257,-11.875,22.5,0.3443
258,-11.875,23,1.0374
259,-11.875,23.5,0.4169
260,-11.875,24,-0.1355
261,-11.875,24.5,-0.0676
262,-11.875,25,-0.6509
263,-11.875,25.5,-0.8286
264,-11.875,26,-0.8286
265,-11.875,26.5,-1.0374
266,-11.875,27,-0.9279
267,-11.875,27.5,-0.9279
268,-11.875,28,-0.7369
269,-11.25,7,-0.3443
270,-11.25,7.5,-0.204
271,-11.25,8,0.2735
272,-11.25,8.5,0.3443
273,-11.25,9,0.3443
274,-11.25,9.5,0.1355
275,-11.25,10,0.2735
276,-11.25,10.5,0.2735
277,-11.25,11,0.4169
278,-11.25,11.5,0.4169
279,-11.25,12,0.4169
280,-11.25,12.5,0.4918
281,-11.25,13,0.3443
282,-11.25,13.5,0.2735
283,-11.25,14,0.1355
284,-11.25,14.5,0.0676
285,-11.25,15,-0.0676
286,-11.25,15.5,-1.3052
287,-11.25,16,-1.7276
288,-11.25,16.5,-1.4835
289,-11.25,17,-2.1678
290,-11.25,17.5,-2.1678
291,-11.25,18,-2.1678
292,-11.25,18.5,-2.1678
293,-11.25,19,-2.1678
294,-11.25,19.5,0.4918
295,-11.25,20,0.4918
296,-11.25,20.5,0.1355
297,-11.25,21,-0.204
298,-11.25,21.5,-0.2735
299,-11.25,22,-0.2735
300,-11.25,22.5,0.3443
301,-11.25,23,1.0374
302,-11.25,23.5,0.4169
303,-11.25,24,-0.1355
304,-11.25,24.5,-0.204
305,-11.25,25,-0.7369
306,-11.25,25.5,-0.7369
307,-11.25,26,-0.7369
308,-11.25,26.5,-1.0374
309,-11.25,27,-0.9279
310,-11.25,27.5,-0.9279
311,-11.25,28,-0.5696
312,-11.25,28.5,-0.7369
313,-10.625,6.5,-0.2735
314,-10.625,7,-0.2735
315,-10.625,7.5,-0.2735
316,-10.625,8,0.1355
317,-10.625,8.5,0.2735
318,-10.625,9,0.4169
319,-10.625,9.5,0.3443
320,-10.625,10,0.4169
321,-10.625,10.5,0.4169
322,-10.625,11,0.3443
323,-10.625,11.5,0.5696
