OID,X,Y,Data
0,-16.875,14.5,1.0374
1,-16.875,15,0.8286
2,-16.875,21.5,0.7369
3,-16.875,22,1.1609
4,-16.25,11.5,-0.0676
5,-16.25,12,0.204
6,-16.25,12.5,0.6509
7,-16.25,13,0.7369
8,-16.25,13.5,0.7369
9,-16.25,14,0.8286
10,-16.25,14.5,0.9279
11,-16.25,15,0.9279
12,-16.25,15.5,1.0374
13,-16.25,16,1.4835
14,-16.25,16.5,1.7276
15,-16.25,17,1.7276
16,-16.25,19.5,1.0374
17,-16.25,20.5,0.6509
18,-16.25,21,0.8286
19,-16.25,21.5,1.1609
20,-16.25,22,1.1609
21,-16.25,22.5,0.9279
22,-16.25,28.5,1.4835
23,-15.625,11.5,0.0676
24,-15.625,12,0.3443
25,-15.625,12.5,0.6509
26,-15.625,13,0.7369
27,-15.625,13.5,0.7369
28,-15.625,14,0.8286
29,-15.625,14.5,0.7369
30,-15.625,15,0.5696
31,-15.625,15.5,0.9279
32,-15.625,16,1.3052
33,-15.625,16.5,2.1678
34,-15.625,17,1.4835
35,-15.625,17.5,1.4835
36,-15.625,18,1.7276
37,-15.625,18.5,1.7276
38,-15.625,19,1.4835
39,-15.625,19.5,1.3052
40,-15.625,20,0.8286
41,-15.625,20.5,0.6509
42,-15.625,21,0.6509
43,-15.625,21.5,0.9279
44,-15.625,22,0.8286
45,-15.625,22.5,0.6509
46,-15.625,23,0.4169
47,-15.625,23.5,-0.5696
48,-15.625,24,-0.3443
49,-15.625,28,0.6509
50,-15,11,0.1355
51,-15,11.5,0.0676
52,-15,12,0.6509
53,-15,12.5,0.9279
54,-15,13,0.9279
55,-15,13.5,0.7369
56,-15,14,0.6509
57,-15,14.5,0.6509
58,-15,15,0.4918
59,-15,15.5,0.8286
60,-15,16,1.3052
61,-15,16.5,1.7276
62,-15,17,1.4835
63,-15,17.5,1.4835
64,-15,18,1.4835
65,-15,18.5,1.7276
66,-15,19,1.3052
67,-15,19.5,1.1609
68,-15,20,0.8286
69,-15,20.5,0.3443
70,-15,21,0.3443
71,-15,21.5,0.4918
72,-15,22,0.6509
73,-15,22.5,0.6509
74,-15,23,0.3443
75,-15,23.5,-0.5696
76,-15,24,-0.4169
77,-15,24.5,0.5696
78,-14.375,10.5,0.3443
79,-14.375,11,0.4918
80,-14.375,11.5,0.4918
81,-14.375,12,0.5696
82,-14.375,12.5,1.3052
83,-14.375,13,1.1609
84,-14.375,13.5,0.5696
85,-14.375,14,0.6509
86,-14.375,14.5,0.6509
87,-14.375,15,0.3443
88,-14.375,15.5,0.8286
89,-14.375,16,0.9279
90,-14.375,16.5,1.3052
91,-14.375,17,1.4835
92,-14.375,17.5,1.7276
93,-14.375,18,1.3052
94,-14.375,18.5,1.3052
95,-14.375,19,1.3052
96,-14.375,19.5,1.1609
97,-14.375,20,0.8286
98,-14.375,20.5,-0.0676
99,-14.375,21,0.0676
100,-14.375,21.5,0.3443
101,-14.375,22,0.2735
102,-14.375,22.5,0.0676
103,-14.375,23,-0.3443
104,-14.375,23.5,-0.5696
105,-14.375,24,-0.3443
106,-14.375,24.5,0.4918
107,-14.375,25,0.8286
108,-14.375,25.5,1.0374
109,-14.375,26,1.0374
110,-13.75,9.5,0.1355
111,-13.75,10,0.204
112,-13.75,10.5,0.3443
113,-13.75,11,0.5696
114,-13.75,11.5,0.5696
115,-13.75,12,0.8286
116,-13.75,12.5,1.4835
117,-13.75,13,1.3052
118,-13.75,13.5,0.7369
119,-13.75,14,0.4169
120,-13.75,14.5,0.4918
121,-13.75,15,0.3443
122,-13.75,15.5,0.8286
123,-13.75,16,1.4835
124,-13.75,16.5,1.7276
125,-13.75,17,1.7276
126,-13.75,17.5,1.4835
127,-13.75,18,1.4835
128,-13.75,18.5,1.1609
129,-13.75,19,1.3052
130,-13.75,19.5,1.0374
131,-13.75,20,0.5696
132,-13.75,20.5,-0.2735
133,-13.75,21,-0.3443
134,-13.75,21.5,-0.9279
135,-13.75,22,-1.1609
136,-13.75,22.5,-1.7276
137,-13.75,23,-1.3052
138,-13.75,23.5,-0.4169
139,-13.75,24,-0.204
140,-13.75,24.5,0.4169
141,-13.75,25,0.4918
142,-13.75,25.5,0.5696
143,-13.75,26,0.5696
144,-13.75,26.5,0.6509
145,-13.75,29,0.1355
146,-13.125,8.5,0
147,-13.125,9,-0.0676
148,-13.125,9.5,-0.1355
149,-13.125,10,0
150,-13.125,10.5,0.2735
151,-13.125,11,0.4918
152,-13.125,11.5,0.4918
153,-13.125,12,0.5696
154,-13.125,12.5,1.4835
155,-13.125,13,1.3052
156,-13.125,13.5,0.9279
157,-13.125,14,0.4918
158,-13.125,14.5,0.4918
159,-13.125,15,0.7369
160,-13.125,15.5,1.4835
161,-13.125,16,2.1678
162,-13.125,16.5,2.1678
163,-13.125,17,1.7276
164,-13.125,17.5,1.4835
165,-13.125,18,1.0374
166,-13.125,18.5,1.0374
167,-13.125,19,1.0374
168,-13.125,19.5,0.7369
169,-13.125,20,0.5696
170,-13.125,20.5,0.1355
171,-13.125,21,-0.2735
172,-13.125,21.5,-0.7369
173,-13.125,22,-0.6509
174,-13.125,22.5,-0.6509
175,-13.125,23,-0.8286
176,-13.125,23.5,-1.7276
177,-13.125,24,-1.7276
178,-13.125,24.5,0.7369
179,-13.125,25,1.1609
180,-13.125,25.5,1.1609
181,-13.125,26,0.7369
182,-13.125,26.5,0.0676
183,-13.125,27,0.1355
184,-13.125,27.5,-0.4169
185,-12.5,7.5,-0.7369
186,-12.5,8,-0.4918
187,-12.5,8.5,-0.4918
188,-12.5,9,-0.5696
189,-12.5,9.5,-0.4918
190,-12.5,10,-0.4918
191,-12.5,10.5,-0.3443
192,-12.5,11,-0.204
193,-12.5,11.5,-0.2735
194,-12.5,12,-0.0676
195,-12.5,12.5,0.6509
196,-12.5,13,1.0374
197,-12.5,13.5,0.8286
198,-12.5,14,0.3443
199,-12.5,14.5,0.6509
200,-12.5,15,1.4835
201,-12.5,15.5,1.3052
202,-12.5,16,2.1678
203,-12.5,16.5,2.1678
204,-12.5,17,1.7276
205,-12.5,17.5,0.9279
206,-12.5,18,0.6509
207,-12.5,18.5,0.4918
208,-12.5,19,0.7369
209,-12.5,19.5,0.4918
210,-12.5,20,0.4169
211,-12.5,20.5,0.6509
212,-12.5,21,0
213,-12.5,21.5,-0.7369
214,-12.5,22,-0.5696
215,-12.5,22.5,-0.4169
216,-12.5,23,-0.4918
217,-12.5,23.5,-1.7276
218,-12.5,24,-1.4835
219,-12.5,24.5,0.5696
220,-12.5,25,0.9279
221,-12.5,25.5,1.0374
222,-12.5,26,0.4918
223,-12.5,26.5,-0.0676
224,-12.5,27,-0.2735
225,-12.5,27.5,-0.204
226,-12.5,28,-0.0676
227,-11.875,7.5,-0.7369
228,-11.875,8,-0.7369
229,-11.875,8.5,-0.7369
230,-11.875,9,-0.7369
231,-11.875,9.5,-0.6509
232,-11.875,10,-0.5696
233,-11.875,10.5,-0.4918
234,-11.875,11,-0.4918
235,-11.875,11.5,-0.4169
236,-11.875,12,-0.4169
237,-11.875,12.5,0.2735
238,-11.875,13,0.4169
239,-11.875,13.5,0.5696
240,-11.875,14,0.4918
241,-11.875,14.5,0.4918
242,-11.875,15,0.6509
243,-11.875,15.5,0.8286
244,-11.875,16,1.0374
245,-11.875,16.5,1.3052
246,-11.875,17,1.3052
247,-11.875,17.5,0.9279
248,-11.875,18,0.7369
249,-11.875,18.5,0.9279
250,-11.875,19,1.0374
251,-11.875,19.5,0.6509
252,-11.875,20,0.3443
253,-11.875,20.5,0.6509
254,-11.875,21,0.9279
255,-11.875,21.5,-0.1355
256,-11.875,22,-0.4918
257,-11.875,22.5,-0.4918
258,-11.875,23,-0.2735
259,-11.875,23.5,-0.6509
260,-11.875,24,-0.7369
261,-11.875,24.5,0.1355
262,-11.875,25,0.3443
263,-11.875,25.5,-0.204
264,-11.875,26,-0.2735
265,-11.875,26.5,-0.204
266,-11.875,27,-0.204
267,-11.875,27.5,-0.204
268,-11.875,28,0.1355
269,-11.25,7,-0.9279
270,-11.25,7.5,-0.7369
271,-11.25,8,-0.6509
272,-11.25,8.5,-0.6509
273,-11.25,9,-0.6509
274,-11.25,9.5,-0.6509
275,-11.25,10,-0.5696
276,-11.25,10.5,-0.4918
277,-11.25,11,-0.4918
278,-11.25,11.5,-0.4169
279,-11.25,12,-0.4169
280,-11.25,12.5,0.2735
281,-11.25,13,0.4169
282,-11.25,13.5,0.4169
283,-11.25,14,0.3443
284,-11.25,14.5,0.4918
285,-11.25,15,0.6509
286,-11.25,15.5,0.7369
287,-11.25,16,1.1609
288,-11.25,16.5,1.4835
289,-11.25,17,1.1609
290,-11.25,17.5,1.0374
291,-11.25,18,1.0374
292,-11.25,18.5,1.4835
293,-11.25,19,0.9279
294,-11.25,19.5,0.9279
295,-11.25,20,1.0374
296,-11.25,20.5,0.8286
297,-11.25,21,0.3443
298,-11.25,21.5,0.4169
299,-11.25,22,-0.204
300,-11.25,22.5,-0.4169
301,-11.25,23,-0.4169
302,-11.25,23.5,-0.9279
303,-11.25,24,-1.3052
304,-11.25,24.5,0
305,-11.25,25,0.0676
306,-11.25,25.5,-0.1355
307,-11.25,26,-0.2735
308,-11.25,26.5,-0.1355
309,-11.25,27,-0.2735
310,-11.25,27.5,-0.204
311,-11.25,28,0
