OID,X,Y,Data
0,-16.875,14.5,0.0676
1,-16.875,15,0.1355
2,-16.875,21.5,0
3,-16.875,22,-0.2735
4,-16.25,11.5,-0.3443
5,-16.25,12,-0.4918
6,-16.25,12.5,-0.6509
7,-16.25,13,-0.7369
8,-16.25,13.5,-0.7369
9,-16.25,14,-0.4169
10,-16.25,14.5,-0.204
11,-16.25,15,0.0676
12,-16.25,15.5,0.5696
13,-16.25,16,0.7369
14,-16.25,16.5,0.8286
15,-16.25,17,0.6509
16,-16.25,19.5,-0.204
17,-16.25,20.5,-0.2735
18,-16.25,21,-1.7276
19,-16.25,21.5,-1.7276
20,-16.25,22,-0.4918
21,-16.25,22.5,-0.4918
22,-16.25,28.5,2.1678
23,-15.625,11.5,-0.204
24,-15.625,12,-0.204
25,-15.625,12.5,-0.3443
26,-15.625,13,-0.8286
27,-15.625,13.5,-1.0374
28,-15.625,14,-0.7369
29,-15.625,14.5,-0.5696
30,-15.625,15,-0.204
31,-15.625,15.5,0.204
32,-15.625,16,0.5696
33,-15.625,16.5,0.7369
34,-15.625,17,0.6509
35,-15.625,17.5,0.204
36,-15.625,18,0
37,-15.625,18.5,-0.0676
38,-15.625,19,-0.204
39,-15.625,19.5,-0.2735
40,-15.625,20,-0.4169
41,-15.625,20.5,-0.5696
42,-15.625,21,-0.8286
43,-15.625,21.5,-1.1609
44,-15.625,22,-0.204
45,-15.625,22.5,-0.1355
46,-15.625,23,0.1355
47,-15.625,23.5,0
48,-15.625,24,0
49,-15.625,28,1.3052
50,-15,11,-0.3443
51,-15,11.5,-0.0676
52,-15,12,0
53,-15,12.5,0
54,-15,13,-0.3443
55,-15,13.5,-0.9279
56,-15,14,-0.7369
57,-15,14.5,-0.6509
58,-15,15,-0.4918
59,-15,15.5,-0.1355
60,-15,16,0.204
61,-15,16.5,0.4169
62,-15,17,0.3443
63,-15,17.5,-0.0676
64,-15,18,-0.204
65,-15,18.5,-0.204
66,-15,19,-0.204
67,-15,19.5,-0.3443
68,-15,20,-0.4918
69,-15,20.5,-0.7369
70,-15,21,-0.8286
71,-15,21.5,-0.9279
72,-15,22,-0.204
73,-15,22.5,-0.0676
74,-15,23,0.204
75,-15,23.5,0.204
76,-15,24,0.1355
77,-15,24.5,0.4169
78,-14.375,10.5,0
79,-14.375,11,0.1355
80,-14.375,11.5,0.4169
81,-14.375,12,0.4918
82,-14.375,12.5,0.204
83,-14.375,13,0.0676
84,-14.375,13.5,-0.4169
85,-14.375,14,-0.7369
86,-14.375,14.5,-0.6509
87,-14.375,15,-0.5696
88,-14.375,15.5,-0.1355
89,-14.375,16,0.1355
90,-14.375,16.5,0.204
91,-14.375,17,0.0676
92,-14.375,17.5,-0.1355
93,-14.375,18,-0.204
94,-14.375,18.5,-0.204
95,-14.375,19,-0.3443
96,-14.375,19.5,-0.4169
97,-14.375,20,-0.7369
98,-14.375,20.5,-1.0374
99,-14.375,21,-0.9279
100,-14.375,21.5,-0.9279
101,-14.375,22,-0.1355
102,-14.375,22.5,0.1355
103,-14.375,23,0.3443
104,-14.375,23.5,0.4918
105,-14.375,24,0.3443
106,-14.375,24.5,0.7369
107,-14.375,25,1.1609
108,-14.375,25.5,1.7276
109,-14.375,26,1.7276
110,-13.75,9.5,-0.2735
111,-13.75,10,0.0676
112,-13.75,10.5,0.3443
113,-13.75,11,0.4918
114,-13.75,11.5,0.5696
115,-13.75,12,0.5696
116,-13.75,12.5,0.4918
117,-13.75,13,0.2735
118,-13.75,13.5,0
119,-13.75,14,-0.4169
120,-13.75,14.5,-0.9279
121,-13.75,15,-0.5696
122,-13.75,15.5,-0.1355
123,-13.75,16,0.0676
124,-13.75,16.5,0.1355
125,-13.75,17,-0.1355
126,-13.75,17.5,-0.204
127,-13.75,18,-0.1355
128,-13.75,18.5,-1.4835
129,-13.75,19,-1.0374
130,-13.75,19.5,-1.1609
131,-13.75,20,-1.1609
132,-13.75,20.5,-1.3052
133,-13.75,21,-1.0374
134,-13.75,21.5,-0.9279
135,-13.75,22,0.4918
136,-13.75,22.5,1.0374
137,-13.75,23,1.0374
138,-13.75,23.5,0.8286
139,-13.75,24,0.5696
140,-13.75,24.5,0.6509
141,-13.75,25,0.7369
142,-13.75,25.5,1.7276
143,-13.75,26,1.7276
144,-13.75,26.5,1.7276
145,-13.75,29,0.5696
146,-13.125,8.5,-0.4169
147,-13.125,9,-0.3443
148,-13.125,9.5,-0.2735
149,-13.125,10,0.3443
150,-13.125,10.5,0.4918
151,-13.125,11,0.6509
152,-13.125,11.5,0.5696
153,-13.125,12,0.5696
154,-13.125,12.5,0.7369
155,-13.125,13,0.4169
156,-13.125,13.5,0.1355
157,-13.125,14,-0.3443
158,-13.125,14.5,-0.4169
159,-13.125,15,0
160,-13.125,15.5,0.204
161,-13.125,16,0.4918
162,-13.125,16.5,0.7369
163,-13.125,17,0.8286
164,-13.125,17.5,0.204
165,-13.125,18,0.0676
166,-13.125,18.5,-1.4835
167,-13.125,19,-1.7276
168,-13.125,19.5,-0.6509
169,-13.125,20,-0.4918
170,-13.125,20.5,-0.2735
171,-13.125,21,-0.0676
172,-13.125,21.5,0.204
173,-13.125,22,0.7369
174,-13.125,22.5,1.4835
175,-13.125,23,1.7276
176,-13.125,23.5,1.4835
177,-13.125,24,1.0374
178,-13.125,24.5,0.6509
179,-13.125,25,0.5696
180,-13.125,25.5,1.0374
181,-13.125,26,0.8286
182,-13.125,26.5,1.0374
183,-13.125,27,1.1609
184,-13.125,27.5,1.3052
185,-12.5,7.5,-1.3052
186,-12.5,8,-0.9279
187,-12.5,8.5,-0.9279
188,-12.5,9,-0.9279
189,-12.5,9.5,-0.7369
190,-12.5,10,-0.204
191,-12.5,10.5,0.4169
192,-12.5,11,0.4918
193,-12.5,11.5,0.4169
194,-12.5,12,0.3443
195,-12.5,12.5,0.2735
196,-12.5,13,0.0676
197,-12.5,13.5,-0.2735
198,-12.5,14,-0.204
199,-12.5,14.5,-0.2735
200,-12.5,15,0.3443
201,-12.5,15.5,0.6509
202,-12.5,16,1.1609
203,-12.5,16.5,1.7276
204,-12.5,17,1.7276
205,-12.5,17.5,1.4835
206,-12.5,18,0.4169
207,-12.5,18.5,-0.7369
208,-12.5,19,-1.3052
209,-12.5,19.5,-0.4918
210,-12.5,20,-0.3443
211,-12.5,20.5,0
212,-12.5,21,0.4169
213,-12.5,21.5,0.8286
214,-12.5,22,1.0374
215,-12.5,22.5,1.3052
216,-12.5,23,2.1678
217,-12.5,23.5,1.7276
218,-12.5,24,1.1609
219,-12.5,24.5,1.0374
220,-12.5,25,0.7369
221,-12.5,25.5,1.0374
222,-12.5,26,1.0374
223,-12.5,26.5,0.7369
224,-12.5,27,0.6509
225,-12.5,27.5,0.4918
226,-12.5,28,0.1355
227,-11.875,7.5,-1.1609
228,-11.875,8,-0.9279
229,-11.875,8.5,-0.9279
230,-11.875,9,-0.9279
231,-11.875,9.5,-0.9279
232,-11.875,10,-0.5696
233,-11.875,10.5,-0.3443
234,-11.875,11,-0.204
235,-11.875,11.5,-0.2735
236,-11.875,12,-0.3443
237,-11.875,12.5,-0.3443
238,-11.875,13,-0.204
239,-11.875,13.5,-0.1355
240,-11.875,14,-0.1355
241,-11.875,14.5,-0.1355
242,-11.875,15,0.4169
243,-11.875,15.5,0.9279
244,-11.875,16,1.1609
245,-11.875,16.5,1.7276
246,-11.875,17,2.1678
247,-11.875,17.5,2.1678
248,-11.875,18,1.3052
249,-11.875,18.5,-0.6509
250,-11.875,19,-0.8286
251,-11.875,19.5,-0.4169
252,-11.875,20,-0.3443
253,-11.875,20.5,0.0676
254,-11.875,21,0.4169
255,-11.875,21.5,0.7369
256,-11.875,22,1.1609
257,-11.875,22.5,1.1609
258,-11.875,23,1.4835
259,-11.875,23.5,1.7276
260,-11.875,24,1.4835
261,-11.875,24.5,1.4835
262,-11.875,25,1.4835
263,-11.875,25.5,1.3052
264,-11.875,26,1.0374
265,-11.875,26.5,0.7369
266,-11.875,27,0.2735
267,-11.875,27.5,0.0676
268,-11.875,28,-0.0676
269,-11.25,7,-1.0374
270,-11.25,7.5,-1.1609
271,-11.25,8,-0.9279
272,-11.25,8.5,-0.9279
273,-11.25,9,-0.9279
274,-11.25,9.5,-0.9279
275,-11.25,10,-0.5696
276,-11.25,10.5,-0.3443
277,-11.25,11,-0.204
278,-11.25,11.5,-0.204
279,-11.25,12,-0.2735
280,-11.25,12.5,-0.3443
281,-11.25,13,-0.3443
282,-11.25,13.5,-0.0676
283,-11.25,14,-0.1355
284,-11.25,14.5,-0.204
285,-11.25,15,0.3443
286,-11.25,15.5,0.8286
287,-11.25,16,1.1609
288,-11.25,16.5,1.7276
289,-11.25,17,2.1678
290,-11.25,17.5,1.7276
291,-11.25,18,0.8286
292,-11.25,18.5,-0.6509
293,-11.25,19,-0.8286
294,-11.25,19.5,-0.4918
295,-11.25,20,-0.4169
296,-11.25,20.5,0.0676
297,-11.25,21,0.4918
298,-11.25,21.5,1.0374
299,-11.25,22,1.1609
300,-11.25,22.5,1.1609
301,-11.25,23,1.4835
302,-11.25,23.5,1.7276
303,-11.25,24,1.4835
304,-11.25,24.5,1.3052
305,-11.25,25,1.3052
306,-11.25,25.5,1.4835
307,-11.25,26,1.1609
308,-11.25,26.5,0.8286
309,-11.25,27,0.4918
310,-11.25,27.5,0.0676
311,-11.25,28,-0.0676
312,-11.25,28.5,0.2735
313,-10.625,6.5,-0.7369
314,-10.625,7,-1.0374
315,-10.625,7.5,-1.1609
316,-10.625,8,-1.0374
317,-10.625,8.5,-1.0374
318,-10.625,9,-1.0374
319,-10.625,9.5,-0.7369
320,-10.625,10,-0.5696
321,-10.625,10.5,-0.4169
322,-10.625,11,-0.2735
323,-10.625,11.5,-0.2735
324,-10.625,12,-0.3443
325,-10.625,12.5,-0.4918
326,-10.625,13,-0.4918
327,-10.625,13.5,-0.1355
328,-10.625,14,-0.204
329,-10.625,14.5,-0.2735
330,-10.625,15,0.2735
331,-10.625,15.5,0.8286
332,-10.625,16,1.0374
333,-10.625,16.5,1.4835
334,-10.625,17,1.3052
335,-10.625,17.5,1.0374
336,-10.625,18,0.4918
337,-10.625,18.5,-0.6509
338,-10.625,19,-0.5696
339,-10.625,19.5,-0.7369
340,-10.625,20,-0.6509
341,-10.625,20.5,-0.0676
342,-10.625,21,0.1355
343,-10.625,21.5,0.4918
344,-10.625,22,1.0374
345,-10.625,22.5,1.0374
346,-10.625,23,1.4835
347,-10.625,23.5,2.1678
348,-10.625,24,1.7276
349,-10.625,24.5,2.1678
350,-10.625,25,2.1678
351,-10.625,25.5,2.1678
352,-10.625,26,1.4835
353,-10.625,26.5,0.6509
354,-10.625,27,0.1355
