OID,X,Y,Data
0,-16.875,14.5,1.4835
1,-16.875,15,1.7276
2,-16.875,21.5,1.1609
3,-16.875,22,1.7276
4,-16.25,11.5,2.1678
5,-16.25,12,1.7276
6,-16.25,12.5,1.7276
7,-16.25,13,1.3052
8,-16.25,13.5,1.3052
9,-16.25,14,1.4835
10,-16.25,14.5,1.4835
11,-16.25,15,1.7276
12,-16.25,15.5,1.7276
13,-16.25,16,1.7276
14,-16.25,16.5,1.7276
15,-16.25,17,1.7276
16,-16.25,19.5,1.7276
17,-16.25,20.5,1.7276
18,-16.25,21,1.4835
19,-16.25,21.5,1.3052
20,-16.25,22,1.3052
21,-16.25,22.5,1.7276
22,-16.25,28.5,1.1609
23,-15.625,11.5,1.4835
24,-15.625,12,1.4835
25,-15.625,12.5,1.4835
26,-15.625,13,1.3052
27,-15.625,13.5,1.3052
28,-15.625,14,1.4835
29,-15.625,14.5,1.4835
30,-15.625,15,1.4835
31,-15.625,15.5,1.7276
32,-15.625,16,1.7276
33,-15.625,16.5,1.7276
34,-15.625,17,1.7276
35,-15.625,17.5,1.7276
36,-15.625,18,1.3052
37,-15.625,18.5,1.3052
38,-15.625,19,1.4835
39,-15.625,19.5,1.7276
40,-15.625,20,1.7276
41,-15.625,20.5,1.7276
42,-15.625,21,1.7276
43,-15.625,21.5,1.7276
44,-15.625,22,1.4835
45,-15.625,22.5,1.7276
46,-15.625,23,1.4835
47,-15.625,23.5,1.4835
48,-15.625,24,1.4835
49,-15.625,28,1.7276
50,-15,11,1.4835
51,-15,11.5,1.1609
52,-15,12,1.0374
53,-15,12.5,1.1609
54,-15,13,1.3052
55,-15,13.5,1.3052
56,-15,14,1.4835
57,-15,14.5,1.7276
58,-15,15,1.7276
59,-15,15.5,1.7276
60,-15,16,1.7276
61,-15,16.5,1.7276
62,-15,17,1.7276
63,-15,17.5,1.7276
64,-15,18,1.7276
65,-15,18.5,1.3052
66,-15,19,1.4835
67,-15,19.5,1.4835
68,-15,20,1.7276
69,-15,20.5,1.7276
70,-15,21,1.7276
71,-15,21.5,1.7276
72,-15,22,1.7276
73,-15,22.5,1.7276
74,-15,23,1.7276
75,-15,23.5,1.7276
76,-15,24,1.7276
77,-15,24.5,1.4835
78,-14.375,10.5,1.3052
79,-14.375,11,1.1609
80,-14.375,11.5,1.0374
81,-14.375,12,0.9279
82,-14.375,12.5,1.1609
83,-14.375,13,1.3052
84,-14.375,13.5,1.3052
85,-14.375,14,1.4835
86,-14.375,14.5,1.7276
87,-14.375,15,1.7276
88,-14.375,15.5,1.7276
89,-14.375,16,1.7276
90,-14.375,16.5,1.7276
91,-14.375,17,1.7276
92,-14.375,17.5,1.7276
93,-14.375,18,1.7276
94,-14.375,18.5,1.4835
95,-14.375,19,1.7276
96,-14.375,19.5,1.4835
97,-14.375,20,1.7276
98,-14.375,20.5,1.7276
99,-14.375,21,1.7276
100,-14.375,21.5,1.7276
101,-14.375,22,1.7276
102,-14.375,22.5,1.7276
103,-14.375,23,1.7276
104,-14.375,23.5,2.1678
105,-14.375,24,2.1678
106,-14.375,24.5,2.1678
107,-14.375,25,2.1678
108,-14.375,25.5,2.1678
109,-14.375,26,2.1678
110,-13.75,9.5,1.3052
111,-13.75,10,0.8286
112,-13.75,10.5,0.8286
