OID,X,Y,Data
0,-16.875,14.5,-0.6509
1,-16.875,15,-0.2735
2,-16.875,21.5,1.0374
3,-16.875,22,1.4835
4,-16.25,11.5,0.1355
5,-16.25,12,0.3443
6,-16.25,12.5,0
7,-16.25,13,-0.4918
8,-16.25,13.5,-0.8286
9,-16.25,14,-0.8286
10,-16.25,14.5,-0.8286
11,-16.25,15,-0.204
12,-16.25,15.5,0.4918
13,-16.25,16,1.1609
14,-16.25,16.5,1.7276
15,-16.25,17,1.7276
16,-16.25,19.5,0.6509
17,-16.25,20.5,0.204
18,-16.25,21,0.204
19,-16.25,21.5,0.3443
20,-16.25,22,0.5696
21,-16.25,22.5,0.6509
22,-16.25,28.5,1.3052
23,-15.625,11.5,-0.3443
24,-15.625,12,-0.204
25,-15.625,12.5,-0.0676
26,-15.625,13,-0.6509
27,-15.625,13.5,-0.9279
28,-15.625,14,-1.0374
29,-15.625,14.5,-1.1609
30,-15.625,15,-0.0676
31,-15.625,15.5,0.4918
32,-15.625,16,1.1609
33,-15.625,16.5,1.3052
34,-15.625,17,1.4835
35,-15.625,17.5,1.4835
36,-15.625,18,1.4835
37,-15.625,18.5,1.0374
38,-15.625,19,0.6509
39,-15.625,19.5,0.5696
40,-15.625,20,0.4169
41,-15.625,20.5,0.204
42,-15.625,21,0.2735
43,-15.625,21.5,0.3443
44,-15.625,22,0.2735
45,-15.625,22.5,0.204
46,-15.625,23,0.2735
47,-15.625,23.5,-0.2735
48,-15.625,24,-0.4169
49,-15.625,28,1.7276
50,-15,11,-1.0374
51,-15,11.5,-0.7369
52,-15,12,-0.5696
53,-15,12.5,-0.6509
54,-15,13,-1.1609
55,-15,13.5,-1.4835
56,-15,14,-1.3052
57,-15,14.5,-1.3052
58,-15,15,-0.5696
59,-15,15.5,0.204
60,-15,16,0.5696
61,-15,16.5,0.8286
62,-15,17,1.3052
63,-15,17.5,1.3052
64,-15,18,1.3052
65,-15,18.5,0.7369
66,-15,19,0.4918
67,-15,19.5,0.4169
68,-15,20,0.3443
69,-15,20.5,0.1355
70,-15,21,0.0676
71,-15,21.5,0.204
72,-15,22,0.1355
73,-15,22.5,0.204
74,-15,23,0.1355
75,-15,23.5,-0.1355
76,-15,24,-0.5696
77,-15,24.5,-0.8286
78,-14.375,10.5,-1.3052
79,-14.375,11,-1.3052
80,-14.375,11.5,-1.3052
81,-14.375,12,-1.3052
82,-14.375,12.5,-1.3052
83,-14.375,13,-1.4835
84,-14.375,13.5,-1.4835
85,-14.375,14,-1.4835
86,-14.375,14.5,-1.3052
87,-14.375,15,-1.0374
88,-14.375,15.5,-0.3443
89,-14.375,16,0.1355
90,-14.375,16.5,0.3443
91,-14.375,17,0.5696
92,-14.375,17.5,0.6509
93,-14.375,18,0.3443
94,-14.375,18.5,0.0676
95,-14.375,19,0.4918
96,-14.375,19.5,0.2735
97,-14.375,20,0.204
98,-14.375,20.5,0
99,-14.375,21,0
100,-14.375,21.5,0
101,-14.375,22,-0.204
102,-14.375,22.5,-0.2735
103,-14.375,23,-0.7369
104,-14.375,23.5,-0.1355
105,-14.375,24,-0.2735
106,-14.375,24.5,-0.9279
107,-14.375,25,-0.0676
108,-14.375,25.5,0.9279
109,-14.375,26,0.9279
110,-13.75,9.5,-1.0374
111,-13.75,10,-1.4835
112,-13.75,10.5,-1.3052
113,-13.75,11,-1.3052
114,-13.75,11.5,-1.3052
115,-13.75,12,-1.3052
116,-13.75,12.5,-1.3052
117,-13.75,13,-1.4835
118,-13.75,13.5,-1.3052
119,-13.75,14,-1.4835
120,-13.75,14.5,-1.4835
121,-13.75,15,-1.1609
122,-13.75,15.5,-0.6509
123,-13.75,16,0.0676
124,-13.75,16.5,0.204
125,-13.75,17,0.204
126,-13.75,17.5,0.1355
127,-13.75,18,0.0676
128,-13.75,18.5,0.4169
129,-13.75,19,0.6509
130,-13.75,19.5,0.4918
131,-13.75,20,0.2735
132,-13.75,20.5,0.0676
133,-13.75,21,-0.1355
134,-13.75,21.5,-0.4169
135,-13.75,22,-0.5696
136,-13.75,22.5,-0.8286
137,-13.75,23,-0.4169
138,-13.75,23.5,-0.1355
139,-13.75,24,-0.204
140,-13.75,24.5,-0.6509
141,-13.75,25,-0.7369
142,-13.75,25.5,-0.8286
143,-13.75,26,-0.5696
144,-13.75,26.5,-0.5696
145,-13.75,29,-0.4169
146,-13.125,8.5,-0.6509
147,-13.125,9,-0.9279
148,-13.125,9.5,-1.3052
149,-13.125,10,-1.4835
150,-13.125,10.5,-1.3052
151,-13.125,11,-1.3052
152,-13.125,11.5,-1.3052
153,-13.125,12,-1.3052
154,-13.125,12.5,-1.3052
155,-13.125,13,-1.4835
156,-13.125,13.5,-1.3052
157,-13.125,14,-1.3052
158,-13.125,14.5,-1.4835
159,-13.125,15,-1.1609
160,-13.125,15.5,-0.6509
161,-13.125,16,-0.1355
162,-13.125,16.5,0.204
163,-13.125,17,0.204
164,-13.125,17.5,0.0676
165,-13.125,18,-0.0676
166,-13.125,18.5,0.4169
167,-13.125,19,0.8286
168,-13.125,19.5,0.7369
169,-13.125,20,0.204
170,-13.125,20.5,0
171,-13.125,21,-0.204
172,-13.125,21.5,-0.4918
173,-13.125,22,-0.9279
174,-13.125,22.5,-0.7369
