OID,X,Y,Data
0,-16.875,14.5,0.7369
1,-16.875,15,0.1355
2,-16.875,21.5,-0.6509
3,-16.875,22,-0.4169
4,-16.25,11.5,-0.0676
5,-16.25,12,0.2735
6,-16.25,12.5,0.204
7,-16.25,13,-0.2735
8,-16.25,13.5,-0.0676
9,-16.25,14,0.0676
10,-16.25,14.5,0.1355
11,-16.25,15,-0.6509
12,-16.25,15.5,-0.8286
13,-16.25,16,-0.7369
14,-16.25,16.5,-0.4169
15,-16.25,17,-0.3443
16,-16.25,19.5,-0.5696
17,-16.25,20.5,-0.0676
18,-16.25,21,0.1355
19,-16.25,21.5,-0.0676
20,-16.25,22,-0.2735
21,-16.25,22.5,-0.4918
22,-16.25,28.5,0.8286
23,-15.625,11.5,-0.204
24,-15.625,12,0.204
25,-15.625,12.5,0.0676
26,-15.625,13,-0.5696
27,-15.625,13.5,-0.5696
28,-15.625,14,-0.4169
29,-15.625,14.5,-0.1355
30,-15.625,15,-0.5696
31,-15.625,15.5,-1.0374
32,-15.625,16,-0.9279
33,-15.625,16.5,-0.6509
34,-15.625,17,-0.5696
35,-15.625,17.5,-0.4918
36,-15.625,18,-0.4169
37,-15.625,18.5,-0.6509
38,-15.625,19,-0.6509
39,-15.625,19.5,-0.5696
40,-15.625,20,-0.2735
41,-15.625,20.5,0.2735
42,-15.625,21,0.2735
43,-15.625,21.5,-0.1355
44,-15.625,22,-0.6509
45,-15.625,22.5,-0.7369
46,-15.625,23,-0.7369
47,-15.625,23.5,-0.5696
48,-15.625,24,-0.4918
49,-15.625,28,0.1355
50,-15,11,-0.7369
51,-15,11.5,-0.5696
52,-15,12,-0.1355
53,-15,12.5,-0.2735
54,-15,13,-0.7369
55,-15,13.5,-0.7369
56,-15,14,-0.4169
57,-15,14.5,-0.1355
58,-15,15,-0.6509
59,-15,15.5,-1.3052
60,-15,16,-1.1609
61,-15,16.5,-1.0374
62,-15,17,-0.6509
63,-15,17.5,-0.5696
64,-15,18,-0.7369
65,-15,18.5,-0.9279
66,-15,19,-0.8286
67,-15,19.5,-0.7369
68,-15,20,-0.2735
69,-15,20.5,0.1355
70,-15,21,0.0676
71,-15,21.5,-0.2735
72,-15,22,-0.7369
73,-15,22.5,-0.7369
74,-15,23,-0.7369
75,-15,23.5,-0.7369
76,-15,24,-0.5696
77,-15,24.5,-0.8286
78,-14.375,10.5,-1.0374
79,-14.375,11,-0.9279
80,-14.375,11.5,-0.7369
81,-14.375,12,-0.5696
82,-14.375,12.5,-0.6509
83,-14.375,13,-0.7369
84,-14.375,13.5,-0.7369
85,-14.375,14,-0.3443
86,-14.375,14.5,-0.2735
87,-14.375,15,-0.7369
88,-14.375,15.5,-1.1609
89,-14.375,16,-1.1609
90,-14.375,16.5,-1.0374
91,-14.375,17,-1.0374
92,-14.375,17.5,-0.9279
93,-14.375,18,-0.9279
94,-14.375,18.5,-1.0374
95,-14.375,19,-0.9279
96,-14.375,19.5,-0.5696
97,-14.375,20,-0.2735
98,-14.375,20.5,0.1355
99,-14.375,21,0.0676
100,-14.375,21.5,-0.2735
101,-14.375,22,-0.7369
102,-14.375,22.5,-0.8286
103,-14.375,23,-0.7369
104,-14.375,23.5,-0.5696
105,-14.375,24,-0.6509
106,-14.375,24.5,-0.8286
107,-14.375,25,-1.1609
108,-14.375,25.5,-1.3052
109,-14.375,26,-0.5696
110,-13.75,9.5,-1.0374
111,-13.75,10,-1.0374
112,-13.75,10.5,-0.8286
113,-13.75,11,-0.8286
114,-13.75,11.5,-0.7369
115,-13.75,12,-0.8286
116,-13.75,12.5,-1.0374
117,-13.75,13,-0.9279
118,-13.75,13.5,-0.7369
119,-13.75,14,-0.6509
120,-13.75,14.5,-0.5696
121,-13.75,15,-0.8286
122,-13.75,15.5,-1.3052
123,-13.75,16,-1.0374
124,-13.75,16.5,-1.0374
125,-13.75,17,-1.0374
126,-13.75,17.5,-0.9279
127,-13.75,18,-0.7369
128,-13.75,18.5,-0.8286
129,-13.75,19,-0.8286
130,-13.75,19.5,-0.6509
131,-13.75,20,-0.204
132,-13.75,20.5,0.3443
133,-13.75,21,0.3443
134,-13.75,21.5,0.204
135,-13.75,22,-0.4918
136,-13.75,22.5,-0.8286
137,-13.75,23,-0.6509
138,-13.75,23.5,-0.5696
139,-13.75,24,-0.5696
140,-13.75,24.5,-0.3443
141,-13.75,25,-0.2735
142,-13.75,25.5,-0.5696
143,-13.75,26,-0.6509
144,-13.75,26.5,-0.5696
145,-13.75,29,0.5696
146,-13.125,8.5,-0.8286
147,-13.125,9,-1.0374
148,-13.125,9.5,-1.0374
149,-13.125,10,-0.9279
150,-13.125,10.5,-0.9279
151,-13.125,11,-0.7369
152,-13.125,11.5,-0.6509
153,-13.125,12,-0.7369
154,-13.125,12.5,-0.8286
155,-13.125,13,-1.0374
156,-13.125,13.5,-1.0374
157,-13.125,14,-0.9279
158,-13.125,14.5,-0.7369
159,-13.125,15,-0.8286
160,-13.125,15.5,-1.0374
161,-13.125,16,-1.0374
162,-13.125,16.5,-1.0374
163,-13.125,17,-1.1609
164,-13.125,17.5,-1.0374
165,-13.125,18,-0.7369
166,-13.125,18.5,-0.8286
167,-13.125,19,-1.0374
168,-13.125,19.5,-0.7369
169,-13.125,20,-0.1355
170,-13.125,20.5,0.2735
171,-13.125,21,0.4169
172,-13.125,21.5,0.3443
173,-13.125,22,-0.204
174,-13.125,22.5,-0.5696
175,-13.125,23,-0.4918
176,-13.125,23.5,-0.204
177,-13.125,24,0
178,-13.125,24.5,-0.0676
179,-13.125,25,0.0676
180,-13.125,25.5,-0.1355
181,-13.125,26,-0.4169
182,-13.125,26.5,-0.6509
183,-13.125,27,-0.4918
184,-13.125,27.5,-0.2735
185,-12.5,7.5,-0.9279
186,-12.5,8,-0.4918
187,-12.5,8.5,-0.7369
188,-12.5,9,-0.7369
189,-12.5,9.5,-0.6509
190,-12.5,10,-0.8286
191,-12.5,10.5,-0.8286
192,-12.5,11,-0.8286
193,-12.5,11.5,-0.7369
194,-12.5,12,-0.6509
195,-12.5,12.5,-0.6509
196,-12.5,13,-0.9279
197,-12.5,13.5,-0.9279
198,-12.5,14,-0.5696
199,-12.5,14.5,-0.4918
200,-12.5,15,-0.6509
201,-12.5,15.5,-0.8286
202,-12.5,16,-0.7369
203,-12.5,16.5,-0.7369
204,-12.5,17,-0.8286
205,-12.5,17.5,-0.9279
206,-12.5,18,-1.0374
207,-12.5,18.5,-1.0374
208,-12.5,19,-1.3052
209,-12.5,19.5,-1.1609
210,-12.5,20,-0.3443
211,-12.5,20.5,-0.1355
212,-12.5,21,-0.0676
213,-12.5,21.5,0.0676
214,-12.5,22,-0.3443
215,-12.5,22.5,-0.6509
216,-12.5,23,-0.4169
217,-12.5,23.5,-0.1355
218,-12.5,24,0.0676
219,-12.5,24.5,0.204
220,-12.5,25,0.0676
221,-12.5,25.5,-0.1355
222,-12.5,26,-0.4918
223,-12.5,26.5,-0.6509
224,-12.5,27,-0.8286
225,-12.5,27.5,-0.7369
