OID,X,Y,Data
0,-16.875,14.5,0.4169
1,-16.875,15,0.4169
2,-16.875,21.5,1.4835
3,-16.875,22,1.3052
4,-16.25,11.5,-0.4918
5,-16.25,12,-1.0374
6,-16.25,12.5,-1.0374
7,-16.25,13,-0.9279
8,-16.25,13.5,-0.4169
9,-16.25,14,-0.4169
10,-16.25,14.5,0.0676
11,-16.25,15,0.204
12,-16.25,15.5,0.5696
13,-16.25,16,0.4169
14,-16.25,16.5,0.3443
15,-16.25,17,0.4169
16,-16.25,19.5,-0.7369
17,-16.25,20.5,-0.8286
18,-16.25,21,-0.0676
19,-16.25,21.5,-0.1355
20,-16.25,22,-0.4169
21,-16.25,22.5,-0.2735
22,-16.25,28.5,2.1678
23,-15.625,11.5,-1.3052
24,-15.625,12,-1.4835
25,-15.625,12.5,-1.4835
26,-15.625,13,-1.4835
27,-15.625,13.5,-1.0374
28,-15.625,14,-0.9279
29,-15.625,14.5,-0.9279
30,-15.625,15,-0.7369
31,-15.625,15.5,0.1355
32,-15.625,16,0
33,-15.625,16.5,-0.204
34,-15.625,17,-0.0676
35,-15.625,17.5,-0.1355
36,-15.625,18,-0.1355
37,-15.625,18.5,-0.2735
38,-15.625,19,-1.4835
39,-15.625,19.5,-1.4835
40,-15.625,20,-1.4835
41,-15.625,20.5,-1.7276
42,-15.625,21,-0.9279
43,-15.625,21.5,-0.5696
44,-15.625,22,-1.0374
45,-15.625,22.5,-0.8286
46,-15.625,23,-0.5696
47,-15.625,23.5,-0.7369
48,-15.625,24,-1.1609
49,-15.625,28,2.1678
50,-15,11,-1.3052
51,-15,11.5,-1.3052
52,-15,12,-1.4835
53,-15,12.5,-1.4835
54,-15,13,-1.4835
55,-15,13.5,-1.3052
56,-15,14,-1.1609
57,-15,14.5,-1.3052
58,-15,15,-1.3052
59,-15,15.5,-1.1609
60,-15,16,-0.3443
61,-15,16.5,-0.5696
62,-15,17,-0.4169
63,-15,17.5,-0.1355
64,-15,18,-0.1355
65,-15,18.5,-0.4169
66,-15,19,-1.3052
67,-15,19.5,-1.3052
68,-15,20,-1.3052
69,-15,20.5,-1.4835
70,-15,21,-0.8286
71,-15,21.5,-0.8286
72,-15,22,-0.9279
73,-15,22.5,-0.8286
74,-15,23,-1.3052
75,-15,23.5,-1.1609
76,-15,24,-0.9279
77,-15,24.5,-1.1609
78,-14.375,10.5,-2.1678
79,-14.375,11,-1.3052
80,-14.375,11.5,-1.3052
81,-14.375,12,-1.4835
82,-14.375,12.5,-1.4835
83,-14.375,13,-1.4835
84,-14.375,13.5,-1.3052
85,-14.375,14,-1.1609
86,-14.375,14.5,-1.0374
87,-14.375,15,-1.1609
88,-14.375,15.5,-0.9279
89,-14.375,16,-0.204
90,-14.375,16.5,-0.204
91,-14.375,17,-0.4918
92,-14.375,17.5,-0.5696
93,-14.375,18,-0.4918
94,-14.375,18.5,-0.8286
95,-14.375,19,-1.0374
96,-14.375,19.5,-1.1609
