OID,X,Y,Data
0,-16.875,14.5,-0.6509
1,-16.875,15,0
2,-16.875,21.5,1.0374
3,-16.875,22,1.3052
4,-16.25,11.5,-0.1355
5,-16.25,12,-0.4169
6,-16.25,12.5,-0.8286
7,-16.25,13,-1.0374
8,-16.25,13.5,-0.7369
9,-16.25,14,-0.7369
10,-16.25,14.5,-0.4918
11,-16.25,15,-0.3443
12,-16.25,15.5,-0.1355
13,-16.25,16,-0.204
14,-16.25,16.5,-0.5696
15,-16.25,17,-0.8286
16,-16.25,19.5,0
17,-16.25,20.5,0.2735
18,-16.25,21,0.3443
19,-16.25,21.5,0.7369
20,-16.25,22,1.0374
21,-16.25,22.5,1.4835
22,-16.25,28.5,-0.4169
23,-15.625,11.5,0
24,-15.625,12,-1.0374
25,-15.625,12.5,-1.3052
26,-15.625,13,-1.4835
27,-15.625,13.5,-1.0374
28,-15.625,14,-1.3052
29,-15.625,14.5,-1.4835
30,-15.625,15,-0.9279
31,-15.625,15.5,-0.9279
32,-15.625,16,-1.0374
33,-15.625,16.5,-0.7369
34,-15.625,17,-1.1609
35,-15.625,17.5,-1.0374
36,-15.625,18,-0.8286
37,-15.625,18.5,-0.6509
38,-15.625,19,-0.5696
39,-15.625,19.5,0.0676
40,-15.625,20,0.3443
41,-15.625,20.5,0.204
42,-15.625,21,0.204
43,-15.625,21.5,0.3443
44,-15.625,22,1.0374
45,-15.625,22.5,1.4835
46,-15.625,23,1.4835
47,-15.625,23.5,1.1609
48,-15.625,24,0.9279
49,-15.625,28,-0.0676
50,-15,11,-0.3443
51,-15,11.5,-0.1355
52,-15,12,-1.0374
53,-15,12.5,-1.4835
54,-15,13,-1.4835
55,-15,13.5,-1.0374
56,-15,14,-1.1609
57,-15,14.5,-1.1609
58,-15,15,-1.7276
59,-15,15.5,-1.1609
60,-15,16,-0.9279
61,-15,16.5,-0.9279
62,-15,17,-1.0374
63,-15,17.5,-1.1609
64,-15,18,-1.1609
65,-15,18.5,-0.6509
66,-15,19,-0.5696
67,-15,19.5,0.0676
68,-15,20,0.3443
69,-15,20.5,0.2735
70,-15,21,0.3443
71,-15,21.5,0.2735
72,-15,22,1.0374
73,-15,22.5,1.4835
74,-15,23,1.4835
75,-15,23.5,1.3052
76,-15,24,0.8286
77,-15,24.5,0.5696
78,-14.375,10.5,-1.1609
79,-14.375,11,-0.4169
80,-14.375,11.5,-0.6509
81,-14.375,12,-1.3052
82,-14.375,12.5,-1.7276
83,-14.375,13,-1.4835
84,-14.375,13.5,-0.9279
85,-14.375,14,-1.4835
86,-14.375,14.5,-1.1609
87,-14.375,15,-1.4835
88,-14.375,15.5,-0.7369
89,-14.375,16,-0.8286
90,-14.375,16.5,-0.8286
91,-14.375,17,-0.8286
92,-14.375,17.5,-1.1609
93,-14.375,18,-1.3052
94,-14.375,18.5,-0.6509
95,-14.375,19,-0.4169
96,-14.375,19.5,0.0676
97,-14.375,20,0.1355
98,-14.375,20.5,0.3443
99,-14.375,21,0.204
100,-14.375,21.5,0.2735
101,-14.375,22,0.8286
102,-14.375,22.5,1.3052
103,-14.375,23,1.4835
104,-14.375,23.5,1.3052
105,-14.375,24,0.7369
106,-14.375,24.5,0.5696
107,-14.375,25,0.5696
108,-14.375,25.5,1.0374
109,-14.375,26,1.0374
110,-13.75,9.5,-1.3052
111,-13.75,10,-1.3052
112,-13.75,10.5,-1.3052
113,-13.75,11,-0.9279
114,-13.75,11.5,-0.9279
115,-13.75,12,-2.1678
116,-13.75,12.5,-1.7276
117,-13.75,13,-1.4835
118,-13.75,13.5,-0.9279
119,-13.75,14,-0.9279
120,-13.75,14.5,-0.8286
121,-13.75,15,-1.3052
122,-13.75,15.5,-0.7369
123,-13.75,16,-0.6509
124,-13.75,16.5,-0.9279
125,-13.75,17,-0.7369
126,-13.75,17.5,-0.9279
127,-13.75,18,-1.0374
128,-13.75,18.5,-0.4169
129,-13.75,19,-0.204
130,-13.75,19.5,-0.1355
131,-13.75,20,0.1355
132,-13.75,20.5,0.3443
133,-13.75,21,0.3443
134,-13.75,21.5,0.204
135,-13.75,22,0.3443
136,-13.75,22.5,0.8286
137,-13.75,23,1.3052
138,-13.75,23.5,1.1609
139,-13.75,24,0.8286
140,-13.75,24.5,0.7369
141,-13.75,25,0.4169
142,-13.75,25.5,0.5696
143,-13.75,26,0.6509
144,-13.75,26.5,0.9279
145,-13.75,29,0.4169
146,-13.125,8.5,0.204
147,-13.125,9,0.204
148,-13.125,9.5,0.1355
149,-13.125,10,0.6509
150,-13.125,10.5,0.4918
151,-13.125,11,0.4918
152,-13.125,11.5,0.4918
153,-13.125,12,0.204
154,-13.125,12.5,-1.3052
155,-13.125,13,-1.3052
156,-13.125,13.5,-0.8286
