OID,X,Y,Data
0,-16.875,14.5,0.6509
1,-16.875,15,0
2,-16.875,21.5,0.204
3,-16.875,22,0.0676
4,-16.25,11.5,0.0676
5,-16.25,12,-0.1355
6,-16.25,12.5,-0.204
7,-16.25,13,-0.2735
8,-16.25,13.5,-0.4169
9,-16.25,14,-0.4918
10,-16.25,14.5,-0.7369
11,-16.25,15,-0.6509
12,-16.25,15.5,-0.5696
13,-16.25,16,-0.3443
14,-16.25,16.5,0
15,-16.25,17,0
16,-16.25,19.5,0.7369
17,-16.25,20.5,0.9279
18,-16.25,21,0.8286
19,-16.25,21.5,0.7369
20,-16.25,22,0.4169
21,-16.25,22.5,0.204
22,-16.25,28.5,1.3052
23,-15.625,11.5,-0.4169
24,-15.625,12,-0.8286
25,-15.625,12.5,-1.0374
26,-15.625,13,-0.8286
27,-15.625,13.5,-0.6509
28,-15.625,14,-0.6509
29,-15.625,14.5,-0.5696
30,-15.625,15,-0.2735
31,-15.625,15.5,-0.2735
32,-15.625,16,-0.2735
33,-15.625,16.5,-0.3443
34,-15.625,17,0.2735
35,-15.625,17.5,0.3443
36,-15.625,18,0.4169
37,-15.625,18.5,0.4918
38,-15.625,19,0.8286
39,-15.625,19.5,0.9279
40,-15.625,20,0.8286
41,-15.625,20.5,0.7369
42,-15.625,21,0.8286
43,-15.625,21.5,1.0374
44,-15.625,22,0.5696
45,-15.625,22.5,0.3443
46,-15.625,23,-0.204
47,-15.625,23.5,-0.4169
48,-15.625,24,-0.8286
49,-15.625,28,0.6509
50,-15,11,-0.6509
51,-15,11.5,-0.4169
52,-15,12,-1.0374
53,-15,12.5,-1.0374
54,-15,13,-0.9279
55,-15,13.5,-0.7369
56,-15,14,-0.5696
57,-15,14.5,-0.6509
58,-15,15,-0.4169
59,-15,15.5,-0.2735
60,-15,16,-0.4918
61,-15,16.5,-0.4169
62,-15,17,0.2735
63,-15,17.5,0.4169
64,-15,18,0.4918
65,-15,18.5,0.6509
66,-15,19,0.9279
67,-15,19.5,1.0374
68,-15,20,0.9279
69,-15,20.5,1.0374
70,-15,21,1.1609
71,-15,21.5,1.1609
72,-15,22,0.7369
73,-15,22.5,0.5696
74,-15,23,-0.0676
75,-15,23.5,-0.3443
76,-15,24,-0.8286
77,-15,24.5,-0.5696
78,-14.375,10.5,-1.1609
79,-14.375,11,-0.7369
80,-14.375,11.5,-0.7369
81,-14.375,12,-1.1609
82,-14.375,12.5,-1.3052
83,-14.375,13,-1.1609
84,-14.375,13.5,-0.7369
85,-14.375,14,-0.6509
86,-14.375,14.5,-0.5696
87,-14.375,15,-0.5696
88,-14.375,15.5,-0.8286
89,-14.375,16,-1.0374
90,-14.375,16.5,-0.6509
91,-14.375,17,0.2735
92,-14.375,17.5,0.4918
93,-14.375,18,0.7369
94,-14.375,18.5,0.8286
95,-14.375,19,1.0374
96,-14.375,19.5,1.0374
97,-14.375,20,1.0374
98,-14.375,20.5,1.1609
99,-14.375,21,1.1609
100,-14.375,21.5,1.4835
101,-14.375,22,1.3052
102,-14.375,22.5,0.5696
103,-14.375,23,0.0676
104,-14.375,23.5,-0.3443
105,-14.375,24,-0.8286
106,-14.375,24.5,-0.8286
107,-14.375,25,-0.5696
108,-14.375,25.5,-0.5696
109,-14.375,26,-0.1355
110,-13.75,9.5,-1.1609
111,-13.75,10,-1.1609
112,-13.75,10.5,-1.1609
113,-13.75,11,-0.6509
114,-13.75,11.5,-0.6509
115,-13.75,12,-1.0374
116,-13.75,12.5,-1.0374
117,-13.75,13,-0.6509
118,-13.75,13.5,-0.4918
119,-13.75,14,-0.4918
120,-13.75,14.5,-0.4918
121,-13.75,15,-0.3443
122,-13.75,15.5,-0.4918
123,-13.75,16,-0.5696
124,-13.75,16.5,-0.2735
125,-13.75,17,0.3443
126,-13.75,17.5,0.7369
127,-13.75,18,0.7369
128,-13.75,18.5,0.7369
129,-13.75,19,1.0374
130,-13.75,19.5,1.0374
131,-13.75,20,1.0374
132,-13.75,20.5,1.0374
133,-13.75,21,1.0374
134,-13.75,21.5,1.3052
135,-13.75,22,1.3052
136,-13.75,22.5,0.6509
137,-13.75,23,0.3443
138,-13.75,23.5,-0.204
139,-13.75,24,-0.8286
140,-13.75,24.5,-1.1609
141,-13.75,25,-0.9279
142,-13.75,25.5,-0.5696
143,-13.75,26,-0.4169
144,-13.75,26.5,-0.3443
145,-13.75,29,-0.4169
146,-13.125,8.5,0
147,-13.125,9,-0.0676
148,-13.125,9.5,0
149,-13.125,10,-0.1355
150,-13.125,10.5,-0.1355
151,-13.125,11,-1.1609
152,-13.125,11.5,-1.0374
153,-13.125,12,-0.9279
154,-13.125,12.5,-0.6509
155,-13.125,13,-0.1355
156,-13.125,13.5,-0.1355
