OID,X,Y,Data
0,-16.875,14.5,0.2735
1,-16.875,15,0.2735
2,-16.875,21.5,-1.0374
3,-16.875,22,-1.3052
4,-16.25,11.5,-0.7369
5,-16.25,12,-0.4169
6,-16.25,12.5,-0.0676
7,-16.25,13,0
8,-16.25,13.5,-0.1355
9,-16.25,14,-0.3443
10,-16.25,14.5,-0.2735
11,-16.25,15,-0.204
12,-16.25,15.5,-0.204
13,-16.25,16,0.0676
14,-16.25,16.5,0.204
15,-16.25,17,0
16,-16.25,19.5,-0.4169
17,-16.25,20.5,-0.3443
18,-16.25,21,-0.3443
19,-16.25,21.5,-0.3443
20,-16.25,22,-0.204
21,-16.25,22.5,-0.204
22,-16.25,28.5,0.6509
23,-15.625,11.5,-0.6509
24,-15.625,12,-0.4169
25,-15.625,12.5,0.204
26,-15.625,13,0.0676
27,-15.625,13.5,-0.204
28,-15.625,14,-0.4918
29,-15.625,14.5,-0.8286
30,-15.625,15,-0.5696
31,-15.625,15.5,-0.8286
32,-15.625,16,-0.5696
33,-15.625,16.5,-0.4918
34,-15.625,17,-0.5696
35,-15.625,17.5,-0.5696
36,-15.625,18,-0.4918
37,-15.625,18.5,-1.3052
38,-15.625,19,-1.1609
39,-15.625,19.5,-1.4835
40,-15.625,20,-1.4835
41,-15.625,20.5,-1.4835
42,-15.625,21,-1.0374
43,-15.625,21.5,-0.7369
44,-15.625,22,-1.0374
45,-15.625,22.5,-0.5696
46,-15.625,23,-0.4169
47,-15.625,23.5,-0.204
48,-15.625,24,-0.204
49,-15.625,28,0.6509
50,-15,11,-0.6509
51,-15,11.5,-0.6509
52,-15,12,-0.3443
53,-15,12.5,0
54,-15,13,0.0676
55,-15,13.5,-0.3443
56,-15,14,-0.4918
57,-15,14.5,-0.8286
58,-15,15,-0.7369
59,-15,15.5,-0.7369
60,-15,16,-0.8286
61,-15,16.5,-0.5696
62,-15,17,-0.4169
63,-15,17.5,-0.5696
64,-15,18,-0.6509
65,-15,18.5,-1.3052
66,-15,19,-1.3052
67,-15,19.5,-2.1678
68,-15,20,-1.7276
69,-15,20.5,-1.4835
70,-15,21,-1.3052
71,-15,21.5,-0.9279
72,-15,22,-0.7369
73,-15,22.5,-0.5696
74,-15,23,-0.4169
75,-15,23.5,-0.0676
76,-15,24,-0.2735
77,-15,24.5,-0.9279
78,-14.375,10.5,-0.5696
79,-14.375,11,-0.6509
80,-14.375,11.5,-0.5696
81,-14.375,12,-0.2735
82,-14.375,12.5,-0.204
83,-14.375,13,-0.2735
84,-14.375,13.5,-0.4169
85,-14.375,14,-0.5696
86,-14.375,14.5,-0.8286
87,-14.375,15,-0.204
88,-14.375,15.5,-0.5696
89,-14.375,16,-0.7369
90,-14.375,16.5,-0.7369
91,-14.375,17,-0.6509
92,-14.375,17.5,-0.7369
93,-14.375,18,-0.6509
94,-14.375,18.5,-1.1609
95,-14.375,19,-1.3052
96,-14.375,19.5,-1.4835
97,-14.375,20,-1.3052
98,-14.375,20.5,-1.3052
99,-14.375,21,-1.4835
100,-14.375,21.5,-0.9279
101,-14.375,22,-0.8286
102,-14.375,22.5,-0.5696
103,-14.375,23,-0.3443
104,-14.375,23.5,-0.0676
105,-14.375,24,-0.204
106,-14.375,24.5,-0.7369
107,-14.375,25,-0.204
108,-14.375,25.5,0.6509
109,-14.375,26,0.9279
110,-13.75,9.5,0.1355
111,-13.75,10,-0.1355
112,-13.75,10.5,-0.3443
113,-13.75,11,-0.4918
114,-13.75,11.5,-0.4918
115,-13.75,12,-0.4169
116,-13.75,12.5,-0.4169
117,-13.75,13,-0.4169
118,-13.75,13.5,-0.5696
119,-13.75,14,-0.5696
120,-13.75,14.5,0.204
121,-13.75,15,0
122,-13.75,15.5,-0.5696
123,-13.75,16,-0.7369
124,-13.75,16.5,-0.7369
125,-13.75,17,-0.7369
126,-13.75,17.5,-0.7369
127,-13.75,18,-0.7369
128,-13.75,18.5,-1.0374
129,-13.75,19,-1.1609
130,-13.75,19.5,-0.9279
131,-13.75,20,-1.0374
132,-13.75,20.5,-1.0374
133,-13.75,21,-1.4835
134,-13.75,21.5,-1.1609
135,-13.75,22,-1.0374
136,-13.75,22.5,-0.4169
137,-13.75,23,-0.204
138,-13.75,23.5,-0.1355
139,-13.75,24,-0.1355
140,-13.75,24.5,-0.0676
141,-13.75,25,0.4918
142,-13.75,25.5,1.0374
143,-13.75,26,1.3052
144,-13.75,26.5,1.3052
145,-13.75,29,1.3052
146,-13.125,8.5,-0.1355
147,-13.125,9,0
148,-13.125,9.5,0
149,-13.125,10,-0.1355
150,-13.125,10.5,-0.3443
151,-13.125,11,-0.5696
152,-13.125,11.5,-0.5696
153,-13.125,12,-0.5696
154,-13.125,12.5,-0.4918
155,-13.125,13,-0.6509
156,-13.125,13.5,-0.5696
157,-13.125,14,-0.204
158,-13.125,14.5,0.6509
159,-13.125,15,0.2735
160,-13.125,15.5,-0.204
161,-13.125,16,-0.7369
