OID,X,Y,Data
0,-16.875,14.5,-0.5696
1,-16.875,15,-0.7369
2,-16.875,21.5,-1.4835
3,-16.875,22,-0.4918
4,-16.25,11.5,-0.4918
5,-16.25,12,-0.5696
6,-16.25,12.5,-0.9279
7,-16.25,13,-1.3052
8,-16.25,13.5,-1.3052
9,-16.25,14,-0.7369
10,-16.25,14.5,-0.6509
11,-16.25,15,-0.4918
12,-16.25,15.5,-0.4169
13,-16.25,16,-0.4918
14,-16.25,16.5,-0.7369
15,-16.25,17,-0.8286
16,-16.25,19.5,-1.3052
17,-16.25,20.5,-1.4835
18,-16.25,21,-1.3052
19,-16.25,21.5,-1.0374
20,-16.25,22,-1.1609
21,-16.25,22.5,-1.1609
22,-16.25,28.5,-1.3052
23,-15.625,11.5,-0.9279
24,-15.625,12,-0.9279
25,-15.625,12.5,-0.8286
26,-15.625,13,-0.9279
27,-15.625,13.5,-0.8286
28,-15.625,14,-0.6509
29,-15.625,14.5,-0.3443
30,-15.625,15,-0.4169
31,-15.625,15.5,-0.3443
32,-15.625,16,-0.4169
33,-15.625,16.5,-0.5696
34,-15.625,17,-0.8286
35,-15.625,17.5,-0.4169
36,-15.625,18,-0.0676
37,-15.625,18.5,-0.1355
38,-15.625,19,-0.0676
39,-15.625,19.5,-0.2735
40,-15.625,20,-0.7369
41,-15.625,20.5,-0.9279
42,-15.625,21,-1.4835
43,-15.625,21.5,-1.7276
44,-15.625,22,-1.7276
45,-15.625,22.5,-1.4835
46,-15.625,23,-1.4835
47,-15.625,23.5,-1.0374
48,-15.625,24,-1.0374
49,-15.625,28,-1.4835
50,-15,11,-1.1609
51,-15,11.5,-1.1609
52,-15,12,-1.0374
53,-15,12.5,-0.8286
54,-15,13,-0.5696
55,-15,13.5,-0.5696
56,-15,14,-0.4169
57,-15,14.5,-0.0676
58,-15,15,-0.1355
59,-15,15.5,-0.2735
60,-15,16,-0.3443
61,-15,16.5,-0.5696
62,-15,17,-0.8286
63,-15,17.5,-0.3443
64,-15,18,0.0676
65,-15,18.5,0.1355
66,-15,19,0.1355
67,-15,19.5,0
68,-15,20,-0.2735
69,-15,20.5,-0.7369
70,-15,21,-1.4835
71,-15,21.5,-1.7276
72,-15,22,-1.7276
73,-15,22.5,-1.4835
74,-15,23,-1.4835
75,-15,23.5,-1.0374
76,-15,24,-1.0374
77,-15,24.5,-1.7276
78,-14.375,10.5,-1.4835
79,-14.375,11,-1.4835
80,-14.375,11.5,-1.3052
81,-14.375,12,-1.1609
82,-14.375,12.5,-0.7369
83,-14.375,13,-0.4169
84,-14.375,13.5,-0.3443
85,-14.375,14,-0.4169
86,-14.375,14.5,-0.0676
87,-14.375,15,0
88,-14.375,15.5,-0.1355
89,-14.375,16,-0.204
90,-14.375,16.5,-0.3443
91,-14.375,17,-0.8286
92,-14.375,17.5,0
93,-14.375,18,0.3443
94,-14.375,18.5,0.4169
95,-14.375,19,0.2735
96,-14.375,19.5,0.2735
97,-14.375,20,-0.1355
98,-14.375,20.5,-0.5696
99,-14.375,21,-2.1678
100,-14.375,21.5,-1.7276
101,-14.375,22,-1.7276
102,-14.375,22.5,-1.4835
103,-14.375,23,-1.7276
104,-14.375,23.5,-1.3052
105,-14.375,24,-1.0374
106,-14.375,24.5,-1.4835
107,-14.375,25,-1.3052
108,-14.375,25.5,-1.1609
109,-14.375,26,-1.1609
110,-13.75,9.5,-1.3052
111,-13.75,10,-1.4835
112,-13.75,10.5,-1.4835
113,-13.75,11,-1.4835
114,-13.75,11.5,-1.4835
115,-13.75,12,-1.3052
116,-13.75,12.5,-0.6509
117,-13.75,13,-0.204
118,-13.75,13.5,-0.0676
119,-13.75,14,-0.0676
120,-13.75,14.5,0.0676
121,-13.75,15,0
122,-13.75,15.5,0
123,-13.75,16,-0.1355
124,-13.75,16.5,-0.204
125,-13.75,17,-0.3443
126,-13.75,17.5,0.204
127,-13.75,18,0.8286
128,-13.75,18.5,0.6509
129,-13.75,19,0.4918
130,-13.75,19.5,0.4918
131,-13.75,20,0.3443
132,-13.75,20.5,-0.2735
133,-13.75,21,-2.1678
134,-13.75,21.5,-1.7276
135,-13.75,22,-1.7276
136,-13.75,22.5,-1.7276
137,-13.75,23,-1.4835
138,-13.75,23.5,-0.9279
139,-13.75,24,-0.7369
140,-13.75,24.5,-0.9279
141,-13.75,25,-1.0374
142,-13.75,25.5,-0.9279
143,-13.75,26,-0.8286
144,-13.75,26.5,-0.7369
145,-13.75,29,-0.7369
146,-13.125,8.5,-1.7276
147,-13.125,9,-1.3052
148,-13.125,9.5,-1.3052
149,-13.125,10,-1.4835
150,-13.125,10.5,-1.4835
151,-13.125,11,-1.4835
152,-13.125,11.5,-1.4835
153,-13.125,12,-1.4835
154,-13.125,12.5,-0.7369
155,-13.125,13,-0.2735
156,-13.125,13.5,0
157,-13.125,14,0.1355
158,-13.125,14.5,-0.0676
159,-13.125,15,-0.204
160,-13.125,15.5,-0.204
161,-13.125,16,-0.1355
162,-13.125,16.5,-0.204
163,-13.125,17,-0.3443
164,-13.125,17.5,0.0676
165,-13.125,18,0.4918
166,-13.125,18.5,0.4169
167,-13.125,19,0.1355
168,-13.125,19.5,0.3443
169,-13.125,20,0.204
170,-13.125,20.5,-0.204
171,-13.125,21,-0.7369
172,-13.125,21.5,-0.7369
173,-13.125,22,-0.8286
174,-13.125,22.5,-0.9279
175,-13.125,23,-1.3052
176,-13.125,23.5,-1.0374
177,-13.125,24,-0.8286
178,-13.125,24.5,-1.0374
179,-13.125,25,-0.9279
180,-13.125,25.5,-0.8286
181,-13.125,26,-0.8286
182,-13.125,26.5,-0.5696
183,-13.125,27,-0.5696
184,-13.125,27.5,-0.6509
185,-12.5,7.5,-2.1678
186,-12.5,8,-1.7276
187,-12.5,8.5,-1.7276
188,-12.5,9,-1.4835
189,-12.5,9.5,-1.4835
190,-12.5,10,-1.4835
191,-12.5,10.5,-1.4835
192,-12.5,11,-1.4835
193,-12.5,11.5,-1.7276
194,-12.5,12,-1.4835
195,-12.5,12.5,-1.0374
196,-12.5,13,-0.4169
197,-12.5,13.5,-0.2735
198,-12.5,14,-0.0676
199,-12.5,14.5,0
200,-12.5,15,-0.4918
201,-12.5,15.5,-0.5696
202,-12.5,16,-0.6509
203,-12.5,16.5,-0.6509
204,-12.5,17,-0.8286
205,-12.5,17.5,-0.5696
206,-12.5,18,-0.3443
207,-12.5,18.5,-0.3443
208,-12.5,19,-0.204
209,-12.5,19.5,-0.4169
210,-12.5,20,-0.204
211,-12.5,20.5,-0.1355
212,-12.5,21,0
213,-12.5,21.5,-0.2735
214,-12.5,22,-0.204
215,-12.5,22.5,-0.4918
216,-12.5,23,-1.0374
217,-12.5,23.5,-0.8286
218,-12.5,24,-0.7369
219,-12.5,24.5,-0.7369
220,-12.5,25,-0.6509
221,-12.5,25.5,-0.4169
222,-12.5,26,-0.7369
223,-12.5,26.5,-0.9279
224,-12.5,27,-0.6509
225,-12.5,27.5,-0.6509
226,-12.5,28,-0.3443
227,-11.875,7.5,-1.7276
228,-11.875,8,-2.1678
