OID,X,Y,Data,date
0,-16.875,14.5,0.8286,2010-07-01
1,-16.875,15,1.1609,2010-07-01
2,-16.875,21.5,0.3443,2010-07-01
3,-16.875,22,-0.0676,2010-07-01
4,-16.25,11.5,0.9279,2010-07-01
5,-16.25,12,0.6509,2010-07-01
6,-16.25,12.5,0.3443,2010-07-01
7,-16.25,13,0.0676,2010-07-01
8,-16.25,13.5,0.2735,2010-07-01
9,-16.25,14,0.9279,2010-07-01
10,-16.25,14.5,1.0374,2010-07-01
11,-16.25,15,1.4835,2010-07-01
12,-16.25,15.5,1.4835,2010-07-01
13,-16.25,16,1.4835,2010-07-01
14,-16.25,16.5,1.4835,2010-07-01
15,-16.25,17,1.1609,2010-07-01
16,-16.25,19.5,0.5696,2010-07-01
17,-16.25,20.5,0.6509,2010-07-01
18,-16.25,21,0.5696,2010-07-01
19,-16.25,21.5,0.5696,2010-07-01
20,-16.25,22,0.1355,2010-07-01
21,-16.25,22.5,-0.204,2010-07-01
22,-16.25,28.5,-1.4835,2010-07-01
23,-15.625,11.5,0.7369,2010-07-01
24,-15.625,12,0.4169,2010-07-01
25,-15.625,12.5,0.1355,2010-07-01
26,-15.625,13,0.0676,2010-07-01
27,-15.625,13.5,0.4169,2010-07-01
28,-15.625,14,1.0374,2010-07-01
29,-15.625,14.5,1.0374,2010-07-01
30,-15.625,15,1.1609,2010-07-01
31,-15.625,15.5,1.3052,2010-07-01
32,-15.625,16,1.4835,2010-07-01
33,-15.625,16.5,1.7276,2010-07-01
34,-15.625,17,1.3052,2010-07-01
35,-15.625,17.5,0.4918,2010-07-01
36,-15.625,18,0.3443,2010-07-01
37,-15.625,18.5,0.3443,2010-07-01
38,-15.625,19,0.4918,2010-07-01
39,-15.625,19.5,0.4918,2010-07-01
40,-15.625,20,0.4918,2010-07-01
41,-15.625,20.5,0.4169,2010-07-01
42,-15.625,21,0.4169,2010-07-01
43,-15.625,21.5,0.8286,2010-07-01
44,-15.625,22,0.4169,2010-07-01
45,-15.625,22.5,-0.1355,2010-07-01
46,-15.625,23,-0.204,2010-07-01
47,-15.625,23.5,0.2735,2010-07-01
48,-15.625,24,0.4169,2010-07-01
49,-15.625,28,-1.0374,2010-07-01
50,-15,11,1.0374,2010-07-01
51,-15,11.5,0.9279,2010-07-01
52,-15,12,0.8286,2010-07-01
53,-15,12.5,0.204,2010-07-01
54,-15,13,0.204,2010-07-01
55,-15,13.5,0.5696,2010-07-01
56,-15,14,1.0374,2010-07-01
57,-15,14.5,1.1609,2010-07-01
58,-15,15,1.4835,2010-07-01
59,-15,15.5,1.1609,2010-07-01
60,-15,16,1.3052,2010-07-01
61,-15,16.5,1.7276,2010-07-01
62,-15,17,1.1609,2010-07-01
63,-15,17.5,0.7369,2010-07-01
64,-15,18,0.2735,2010-07-01
65,-15,18.5,0.3443,2010-07-01
66,-15,19,0.5696,2010-07-01
67,-15,19.5,0.5696,2010-07-01
68,-15,20,0.5696,2010-07-01
69,-15,20.5,0.5696,2010-07-01
70,-15,21,0.4918,2010-07-01
71,-15,21.5,0.9279,2010-07-01
72,-15,22,0.6509,2010-07-01
73,-15,22.5,0.0676,2010-07-01
74,-15,23,-0.2735,2010-07-01
75,-15,23.5,0.2735,2010-07-01
76,-15,24,0.4169,2010-07-01
77,-15,24.5,1.0374,2010-07-01
78,-14.375,10.5,1.0374,2010-07-01
79,-14.375,11,1.1609,2010-07-01
80,-14.375,11.5,1.1609,2010-07-01
81,-14.375,12,1.0374,2010-07-01
82,-14.375,12.5,0.7369,2010-07-01
83,-14.375,13,0.2735,2010-07-01
84,-14.375,13.5,0.4918,2010-07-01
85,-14.375,14,1.1609,2010-07-01
86,-14.375,14.5,1.3052,2010-07-01
87,-14.375,15,1.7276,2010-07-01
88,-14.375,15.5,1.3052,2010-07-01
89,-14.375,16,1.3052,2010-07-01
90,-14.375,16.5,1.3052,2010-07-01
91,-14.375,17,1.0374,2010-07-01
92,-14.375,17.5,0.5696,2010-07-01
93,-14.375,18,0.204,2010-07-01
94,-14.375,18.5,0.2735,2010-07-01
95,-14.375,19,0.4169,2010-07-01
96,-14.375,19.5,0.4169,2010-07-01
97,-14.375,20,0.4918,2010-07-01
98,-14.375,20.5,0.4918,2010-07-01
99,-14.375,21,0.4169,2010-07-01
100,-14.375,21.5,0.9279,2010-07-01
101,-14.375,22,0.6509,2010-07-01
102,-14.375,22.5,0,2010-07-01
103,-14.375,23,-0.1355,2010-07-01
104,-14.375,23.5,0.204,2010-07-01
105,-14.375,24,0.6509,2010-07-01
106,-14.375,24.5,0.9279,2010-07-01
107,-14.375,25,0.8286,2010-07-01
108,-14.375,25.5,-1.0374,2010-07-01
109,-14.375,26,-1.4835,2010-07-01
110,-13.75,9.5,0.8286,2010-07-01
111,-13.75,10,0.8286,2010-07-01
112,-13.75,10.5,1.0374,2010-07-01
113,-13.75,11,1.0374,2010-07-01
114,-13.75,11.5,1.0374,2010-07-01
115,-13.75,12,1.0374,2010-07-01
116,-13.75,12.5,0.7369,2010-07-01
117,-13.75,13,0.4918,2010-07-01
118,-13.75,13.5,0.8286,2010-07-01
119,-13.75,14,1.3052,2010-07-01
120,-13.75,14.5,1.4835,2010-07-01
121,-13.75,15,1.3052,2010-07-01
122,-13.75,15.5,1.3052,2010-07-01
123,-13.75,16,1.3052,2010-07-01
124,-13.75,16.5,1.1609,2010-07-01
